 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:28:27
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100      -59.27  0.3508  0.4140E-01  0.9932E-03        -38.28  0.3604 -0.6043E-01  0.9351E-03        -20.41  0.3671 -0.2135E+00  0.8834E-03
          0.0230      -59.45  0.3508  0.4140E-01  0.9931E-03        -38.49  0.3603 -0.1011E+00  0.9350E-03        -20.67  0.3670 -0.2374E+00  0.8834E-03
          0.0399      -59.73  0.3506  0.4139E-01  0.9932E-03        -38.79  0.3601 -0.1151E+00  0.9350E-03        -20.97  0.3669 -0.2282E+00  0.8834E-03
          0.0619      -60.05  0.3505  0.4139E-01  0.9931E-03        -39.10  0.3600 -0.9896E-01  0.9350E-03        -21.25  0.3668 -0.1925E+00  0.8834E-03
          0.0904      -60.41  0.3503  0.4139E-01  0.9932E-03        -39.44  0.3599 -0.7636E-01  0.9350E-03        -21.57  0.3667 -0.1521E+00  0.8834E-03
          0.1276      -60.79  0.3501  0.4140E-01  0.9932E-03        -39.79  0.3597 -0.5109E-01  0.9350E-03        -21.88  0.3666 -0.1103E+00  0.8834E-03
          0.1758      -61.15  0.3499  0.4140E-01  0.9932E-03        -40.14  0.3595 -0.2693E-01  0.9350E-03        -22.19  0.3665 -0.7027E-01  0.8834E-03
          0.2386      -61.48  0.3498  0.4139E-01  0.9932E-03        -40.45  0.3594 -0.5290E-02  0.9350E-03        -22.47  0.3664 -0.3446E-01  0.8834E-03
          0.3232      -62.50  0.3493  0.2105E+00  0.9951E-03        -41.18  0.3591  0.1213E+00  0.9351E-03        -23.08  0.3662  0.7247E-01  0.8834E-03
          0.4360      -64.28  0.3484  0.4365E+00  0.9978E-03        -42.55  0.3585  0.3167E+00  0.9352E-03        -24.23  0.3658  0.2561E+00  0.8834E-03
          0.5770      -65.29  0.3478  0.4199E+00  0.9979E-03        -43.51  0.3581  0.3734E+00  0.9352E-03        -25.08  0.3655  0.3590E+00  0.8834E-03
          0.7885      -63.60  0.3486  0.4140E-01  0.9946E-03        -42.45  0.3584  0.1248E+00  0.9351E-03        -24.27  0.3657  0.1861E+00  0.8834E-03
          1.0000      -62.94  0.3491  0.4139E-01  0.9945E-03        -41.82  0.3588  0.8991E-01  0.9351E-03        -23.70  0.3660  0.1222E+00  0.8834E-03
end
