day,ZRTC,ZSTC,ZLFC,ZERC,ZART,ZAST,ZALF,ZAER,TZDMI,TZDMX,ZU
2,1.18343569987825,1.1834356998782503,2.9585892496956254,0.0,72.87762170413036,40.76523159673638,189.2671466991332,0.0,2559.5813953488378,28801.39534883721,302.90999999999997
3,2.4476309115108883,2.4476309115108887,5.475410756986427,0.0,158.7464903486453,88.7973192992498,368.90619035210483,0.0,2609.5478241674095,30030.56784215301,313.54
4,3.7022429100588212,3.6971463157746083,7.442614981675903,0.0,260.46457389829663,145.8688296542184,544.3265964474849,0.0,2780.642082549097,32315.544910649965,334.21000000000004
5,4.941784668538114,4.919962465438357,8.96932820334201,0.0,379.7069758791169,213.2679066499556,717.6051174709274,0.0,3023.946751588003,35087.01798150845,359.92
6,6.149787088271761,6.0912554653338455,10.12520569644631,0.0,517.9456479175975,292.4412242266492,890.4631278557533,0.0,3343.781821507513,38327.54401390596,390.27
7,7.382788869657533,7.2693703251110255,11.088071754159516,0.0,674.6401754069738,383.72801795960254,1061.8218066334236,0.0,3679.5316245873564,41496.94826741545,419.34000000000003
8,8.546159665589366,8.347511100394211,11.762423826747426,0.0,851.452732682418,489.16991689095744,1234.0473504266245,0.0,4119.3678033717715,45263.0774622584,454.48
9,9.75285582216659,9.459672889022382,12.37139938342764,0.0,1046.769737016934,608.4750076044395,1405.2552553786263,0.0,4556.371020145864,48794.2066624906,485.83
10,10.626715770590934,10.176515592916918,12.657937540208824,0.0,1259.9690341220796,744.0662927993241,1600.484673078596,0.0,4892.584521527406,54806.7175513258,544.02
11,11.47122777654748,10.876110827967494,13.03054615465384,0.0,1491.1219900925607,897.2157068585198,1820.2623030489192,0.0,5199.832818133889,61083.6864049142,604.0799999999999
12,12.195425997904742,11.448408347094512,13.326874443032207,0.0,1743.3094839454911,1072.737055055895,2065.1434609986136,0.0,5581.6622524858485,68407.56838476099,672.59
13,13.413488807332035,13.24938706892547,13.94684317633738,0.0,2001.7693145660874,1317.1932284227955,2266.077457011117,0.0,5397.073764388928,72063.52208365293,703.8499999999999
14,14.833467596450683,14.279248595899153,14.618748276719717,0.0,2314.1924489762596,1511.439548646889,2495.2780023768514,0.0,5228.722531754205,76105.10805414956,735.87
15,15.85083163414773,14.754182172141343,14.93995924614849,0.0,2646.055319491579,1721.9204372874879,2750.634243220933,0.0,5372.955971544201,82793.95499081121,797.7
16,17.237569039736773,15.585495600564991,15.593717577915841,0.0,3003.7211793228294,1937.6704582587786,3013.5783624183923,0.0,5177.277611397041,87394.17241684206,836.36
17,18.583491182028574,16.326073379981214,16.203542109166293,0.0,3379.4426090583406,2163.9074951539865,3287.5398957876732,0.0,4977.157876719289,92285.2332823933,875.9200000000001
18,19.738204919833972,16.898386905783127,16.699932400899115,0.0,3766.949864679504,2410.6257962061873,3581.624339114309,0.0,4868.340068561045,98218.57877903391,928.31
19,20.5636703945468,17.226157157794567,17.014049887519516,0.0,4160.561795657063,2689.8291861460407,3904.939018196896,0.0,4940.460008653583,105997.01310521952,996.1300000000001
20,21.627533726046405,17.898673621538784,17.60221513536001,0.0,4567.248925194846,2989.596340578331,4247.784734226823,0.0,4732.857106858893,112145.79481292088,1049.3
21,22.557527716767456,18.494560914985367,18.143011561923892,0.0,4981.7087690907565,3316.8733338751244,4615.6478970341195,0.0,4560.155709078585,119013.16736440573,1109.6
22,23.394479298418535,19.08615390641955,18.686431286720193,0.0,5400.554621076814,3673.4696464388217,5009.905732484364,0.0,4371.247700978453,126254.94799951016,1169.7
23,23.51429078739961,19.019864562706825,18.704630090757846,0.0,5824.274178958662,4094.415870415488,5451.83995062585,0.0,4776.855273424,138741.57033138833,1286.6
24,23.40352931526145,18.844777007901882,18.606420326296117,0.0,6264.491307371708,4585.171149435974,5946.667543192317,0.0,5394.182293431131,153886.51404998658,1425.8
25,23.25389556129612,18.723978698875005,18.519143066799582,0.0,6731.237168097088,5146.932917584742,6503.459914318169,0.0,6091.836072518047,170804.88339992898,1585.3
26,23.83094126870085,19.416889054526983,19.094668276772975,0.0,7226.673503995263,5736.708109441511,7098.248386563225,0.0,5879.287793309199,181667.32939355407,1679.9999999999998
27,24.49983135200987,20.20167996069224,19.779977510171587,0.0,7737.015244259343,6355.328552186798,7731.686203553857,0.0,5470.301377838973,191718.05830832655,1762.3999999999999
28,25.1118567409376,20.972050662926165,20.48478960027001,0.0,8249.034681489438,7012.919577067854,8412.775741442707,0.0,5015.201245464917,202076.2899923196,1850.7
29,24.94278250393626,20.830994505921293,20.40798332742747,0.0,8788.69520740644,7760.243534208022,9159.591258385539,0.0,5668.062048826434,222183.95674386265,2033.8000000000002
30,24.66639962084606,20.61552098984914,20.23631290782624,0.0,9367.248550029608,8605.114880189925,9990.666569780466,0.0,6563.142591337556,245755.5965721288,2254.5
31,25.267844385302197,21.379105630887622,20.774580017599412,0.0,9998.732792205576,9498.185487465338,10814.511720329085,0.0,6302.680802251603,257168.87493991884,2348.4
32,25.93224491027699,22.171461005690347,21.290067579836894,0.0,10658.27927537316,10437.066309269072,11646.384415357768,0.0,5937.165470557762,268099.6785022765,2430.3
33,26.535242554551772,22.888855385833583,21.716529729986814,0.0,11335.031318615569,11431.108094287854,12502.390587096575,0.0,5649.585879067012,279921.71403147455,2526.7999999999997
34,26.889723342239925,23.25999347000522,21.82801028874977,0.0,12045.10261379952,12494.95058297481,13390.976803225669,0.0,5878.815512560945,296119.6800521644,2662.5
35,26.480355722571517,22.583125384265795,21.033322196052787,0.0,12845.150424944728,13689.604865511237,14354.774709544034,0.0,8049.558321975121,327790.38900594733,2958.5
36,27.15603405697837,23.34046018854397,21.446210866109137,0.0,13654.438490953953,14937.52015852436,15361.371350521687,0.0,7644.319127063378,341095.0210225323,3063.8
