day,min_zn_inrice,max_zn_inrice,zn_actual
1,2633.2266312292363,28555.911229235884,681.34
2,3000.246126121261,30290.036685228682,1373.3
3,3491.3158558674145,32971.734474723875,2096.0699999999997
4,4066.1589995257973,36071.42595903593,2858.4199999999996
5,4718.432255628375,39464.57559622938,3665.4099999999994
6,5434.031362520466,42992.11198628868,4517.76
7,6244.560979316855,46870.57345132264,5421.87
8,7133.770098527735,50932.24077552213,6378.04
9,7893.751021204199,56919.610371230854,7431.540000000001
10,8690.989453489197,63273.82832001275,8586.04
11,9607.126077631836,70596.98861363556,9856.74
12,10174.447207997568,75451.31525045552,11182.440000000002
13,10797.915222904854,80788.44851251201,12567.240000000002
14,11737.213114859955,88561.73414384955,14070.240000000002
15,12455.978673921403,94773.90843969352,15647.540000000005
16,13225.330297262737,101447.88869224903,17303.840000000004
17,14138.827623517067,109304.92018748721,19067.24
18,15293.762228492491,119112.12352423722,20973.440000000002
19,16287.076647322261,127778.91892382802,22993.640000000003
20,17376.874647418546,137290.37804283103,25142.640000000003
21,18540.879236107103,147483.20136707273,27424.940000000002
22,20377.838103210364,163082.01804559538,29966.340000000004
23,22530.021448742053,181344.08388275286,32810.740000000005
24,24919.507470535274,201684.47325380924,35998.44
25,26686.437699480353,217228.54539477898,39399.64
26,28368.59400673971,232214.97704041091,42986.04
27,30115.887274433007,247833.5638778038,46769.94
28,33039.39778699172,273027.9460445808,50958.340000000004
29,36316.595737384465,301244.18637280754,55609.64
30,38919.501903794546,318702.9602737662,60451.340000000004
31,41549.022238459016,335906.22356543964,65458.04
32,44399.259208801974,354364.84982538706,70662.14
33,47962.5752170436,377777.23693158675,76161.93999999999
34,53280.356389625784,413783.5234020192,82243.34
35,56717.504455820905,434948.0369922213,88533.44
36,60430.54333076428,457589.10208066634,95049.93999999999
37,64933.42482571975,485356.6415208968,101908.84
38,70630.12726649924,520925.27716073487,109266.93999999999
39,76694.60296754833,558185.6230371256,117148.34
40,83655.09298651638,600699.7833121996,125650.33999999998
41,89494.94274045933,634492.6309679679,134532.63999999998
42,94442.96729010655,661435.9100184413,143627.83999999997
43,101489.63084312298,701627.2160102758,153222.94
44,107040.50305067352,731033.9761360129,163053.83999999997
45,112512.00657199859,759196.8336585113,173081.83999999997
46,118512.24141141682,790050.3672631162,183351.84
47,126850.29590924167,834962.9878337636,194185.84
48,137281.55957565704,891960.5041506533,205827.83999999997
49,148185.33249229056,950656.1513706051,218288.84
50,157831.7225229307,1000427.0651458467,231322.84000000003
51,165087.50651283198,1034692.688024444,244535.84000000003
52,171864.34926649637,1065356.3597294586,257846.84000000005
53,181601.5030338471,1112819.4755311825,271629.84
54,188980.81773987407,1145375.5416727816,285527.84
55,195786.25471115165,1173839.6018175033,299441.84
56,205173.30721978136,1216312.7348572398,313685.84
57,216241.68387566725,1267294.585559025,326532.2948129311
58,224636.17256360708,1304041.4492220026,341419.75524820865
59,231402.17080537407,1329583.2488280484,356138.80554851546
60,238363.11053211882,1355743.5301851062,370747.7858782001
61,244627.48753260775,1377718.468538444,385162.5101795278
62,251479.85781033084,1402463.6490474357,399468.5759706901
63,258019.2755959834,1425164.527352232,413606.63218038296
64,264120.06277023663,1445252.776945536,427535.9948908324
65,271040.19627088925,1469334.8434798531,441262.75556034653
66,277191.08749848854,1489118.6681832464,454784.9924801082
67,282972.35781029,1506718.6327610277,468013.8827015864
68,288890.1027403374,1524844.7166363206,480881.44135900465
69,293403.376313154,1535851.347724354,493552.2173721706
70,297847.54649995995,1546416.966371487,506012.5576170043
71,280079.7779211144,1532142.105576014,517537.079561954
72,262535.7151574858,1519004.3608575603,528135.3972304221
73,245235.5416167533,1507142.7393570382,537235.8975485909
74,227874.50671360444,1495472.089158176,681843.6756366072
75,210748.3237204596,1484539.858632258,680503.9182356283
76,213284.2796455786,1479945.5946331588,680419.4897705802
77,215943.95061800827,1475723.5483271494,680082.7273027295
78,217050.4296701589,1463930.454289909,678318.0310594088
79,218743.02610451877,1455689.1431213324,813438.5552106
80,220902.88056894322,1449100.467782414,800938.8861702356
81,221155.51925752868,1435448.0248940946,796345.5101875755
82,223242.33724640493,1429077.8795893793,791891.3195246323
83,225097.4255188847,1421659.6208148596,781494.7127098321
84,226372.8291541469,1413491.8676062322,772744.4239294198
85,227151.12386685808,1402614.4968751338,767494.459253018
86,229123.85871405655,1396690.95931832,755570.7222080104
87,229389.13141222845,1385211.2208009236,877762.6608350752
88,229941.47219560877,1374055.1485278218,855250.5761974938
89,228604.7081630876,1348578.0886082663,830675.553259094
90,226238.75317460313,1319208.8660161598,809472.9338639898
91,224803.11924652063,1294583.6990257723,790984.9417826531
92,223087.87015428208,1268735.7546578292,768098.3390643939
93,220334.9840176761,1240201.0827994412,749175.0454075818
94,218313.66394089934,1214965.1456458333,720227.090862407
95,214623.25850398827,1186384.4352966445,697492.1895136987
96,211602.40284272883,1159721.4019832993,672531.9411975886
97,208405.84351539752,1134257.1772244866,648424.6186101942
98,205438.13513670414,1110664.217535423,627656.8392988394
99,202642.77079246857,1087370.9544916688,611551.8192316883
100,200327.60594603667,1065195.3295121961,597182.7730459735
101,198204.25177187863,1043984.3597623894,580256.4479425815
102,195264.26578368575,1020753.9393117996,566757.4502079148
103,192644.77936987334,998140.5962884255,548003.1297102411
104,188777.6852976352,973130.7311778856,533239.3923194538
105,185851.71176018653,951002.0592352954,527854.487142512
106,184456.97559762537,932825.4609816605,514790.36831754376
107,181894.51217674246,912751.504238067,501805.9234744392
108,179350.4870715714,893355.5528643585,501805.9234744392
