day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW,WLV,WST,WRT,DWRT,DWST,DWLV
2020-05-30,0.198,0.09733600000000003,98.41860465116281,0.0,63.97209302325583,34.44651162790698,61.581395348837205,0.0062409062981882485,10.0,0.3,,63.97209302325583,34.44651162790698,61.581395348837205,0.0,0.0,0.0
2020-05-31,0.2050334928229665,0.10251376238835626,103.65395590329246,0.0,67.3750713371401,36.27888456615236,64.85720114175764,0.010397684557121572,11.2,0.3,,67.3750713371401,36.27888456615236,64.85720114175764,0.0,0.0,0.0
2020-06-01,0.21344497607655502,0.11137560998479189,112.59090910659836,0.0,73.13647122518694,39.45443788141142,70.35318325294824,0.01634143804707726,12.399999999999999,0.3,,73.13647122518694,39.45443788141142,70.35318325294824,0.0,0.0,0.0
2020-06-02,0.2244114832535885,0.12207976696580111,123.35402869331176,0.0,80.0065624985765,43.34746619473527,76.83600183887461,0.02492594811107754,13.599999999999998,0.3,,80.0065624985765,43.34746619473527,76.83600183887461,0.0,0.0,0.0
2020-06-03,0.23666985645933014,0.1346562812902163,135.9551970222327,0.0,87.94518892275772,48.01000809947498,84.22172027798652,0.021704085915634577,14.799999999999997,0.3,,87.94518892275772,48.01000809947498,84.22172027798652,0.0,0.0,0.0
2020-06-04,0.2487846889952153,0.147270581537548,148.54949813128968,0.0,95.76253023751383,52.78696789377584,91.38012576516608,0.027098607175932356,15.999999999999996,0.3,,95.76253023751383,52.78696789377584,91.38012576516608,0.0,0.0,0.0
2020-06-05,0.26065837320574164,0.162306250935781,163.5150663172313,0.0,104.91437552355791,58.60069079367339,99.62986487495019,0.0224486470438879,17.199999999999996,0.3,,104.91437552355791,58.60069079367339,99.62986487495019,0.0,0.0,0.0
2020-06-06,0.27222775119617226,0.17680874266850213,177.9120794851593,0.0,113.58902997352625,64.32304951163304,107.32956132067528,0.032043832064565556,18.399999999999995,0.3,,113.58902997352625,64.32304951163304,107.32956132067528,0.0,0.0,0.0
2020-06-07,0.2830507177033493,0.19866009095195705,199.5572065771279,0.0,126.44118901634208,73.11601756078582,118.56617428396834,0.035165283838382064,19.599999999999994,0.3,,126.44118901634208,73.11601756078582,118.56617428396834,0.0,0.0,0.0
2020-06-08,0.29476363636363634,0.22154362612307565,222.18610977234067,0.0,139.6919424132361,82.49416735910457,129.98800295301493,0.042489861035521055,20.799999999999994,0.3,,139.6919424132361,82.49416735910457,129.98800295301493,0.0,0.0,0.0
