day,min_zn_inrice,max_zn_inrice,zn_actual
101,255895.55615904287,1894045.8985406952,787415.4077986844
102,258383.17542170372,1906110.9277441949,787121.3790574681
103,260916.40092003677,1917317.7134439247,784844.5993369176
104,262802.35931800015,1926070.4051888934,784554.09108015
105,263210.8409477022,1921663.150995364,777275.5545276636
106,262500.1364580811,1906756.2708524214,768668.7157245309
107,261892.45610312972,1893092.9107240937,758373.5797703816
108,260553.36925550748,1876948.5304241888,746126.0884118836
109,258429.22608335837,1858612.1616978142,733933.468876129
110,254802.1649258614,1830048.8993472548,723948.9277105157
111,253354.4350602448,1815592.172473843,716231.3014261887
112,251115.8570062667,1792779.2615301167,709113.7308754574
113,250705.81749490136,1783523.3109506024,705688.2426166743
114,251458.3149911303,1778256.518767959,697148.7865255772
115,249997.85336504446,1765120.7604883995,690390.5207836406
116,248034.56138632138,1746121.1939302473,684119.4858779516
117,246341.95531920047,1729004.1505914154,676287.7444297934
118,243713.0069678239,1708354.9959018144,667008.4258581011
119,241478.8211250629,1694251.3176354123,658723.8358907218
120,239255.35962563456,1679249.9013535187,656178.3417883681
121,239190.61029013887,1670533.4576914406,650517.5605297844
122,237846.93491757268,1658414.4913166761,644899.1760221871
123,236191.62891926413,1644560.1787805445,639680.8775864253
124,233861.55621225428,1625473.1452424848,634064.5076805477
125,232149.90301450313,1612329.868654912,631881.1594599213
126,231847.85798235878,1603433.4853999065,626619.3248841014
127,229725.32687860163,1587591.4195995517,621472.4751119183
128,227107.42637068074,1568301.9183905227,619379.058409472
129,225831.1982297161,1552976.9962456245,613384.0575487408
130,223474.26604314646,1538441.366318613,611324.9065723979
131,222733.4366921184,1527653.1903045867,609279.319471705
132,221487.69989335877,1513316.4771734541,603963.4554403347
133,219338.86976447684,1499880.9047543795,601946.2376663099
134,218591.58292994896,1489753.878233302,596381.2984936172
135,216188.63488935528,1475983.3358588805,594425.281741373
136,215213.28755572985,1464614.306246215,589284.9000701299
137,212385.9501817342,1447225.1632657184,587315.5022095207
138,211027.8013328421,1433423.9733841964,583041.3098414496
139,208736.88467677654,1418053.2828198823,581023.8372641172
140,207432.51131385023,1405044.9391260576,578972.1811249135
141,206154.22541818247,1392401.3778133907,574828.4926860246
142,204207.80246746444,1379765.3547153939,572753.3938218149
143,203118.7722746353,1368892.8934499158,570660.0780033033
144,202028.65432606652,1358165.6112505612,567189.9958640297
145,200314.74143430675,1345991.7196328687,565068.7183993667
146,199159.24146819385,1335084.548356781,561573.2486521974
147,197522.5037780301,1323812.3617914033,563695.6486521974
