 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:32
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.24295E-01  0.14413E-02  0.24301E-01  0.14405E-02  0.36033E+00  0.24295E-03  0.14413E-04  0.24301E-03  0.14405E-04  0.36033E-02 -0.96490E+02 -0.52611E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10981E+03  0.39465E-06  0.24340E-03      1  0.00000E+00      0.000
       0.0230  0.24126E-01  0.14413E-02  0.24131E-01  0.14405E-02  0.33071E+00  0.55660E-03  0.33151E-04  0.55671E-03  0.33131E-04  0.79025E-02 -0.96440E+02 -0.52515E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10981E+03  0.31049E-05  0.55981E-03      2  0.00000E+00      0.000
       0.0399  0.23710E-01  0.14413E-02  0.23709E-01  0.14405E-02  0.29932E+00  0.95729E-03  0.57510E-04  0.95739E-03  0.57475E-04  0.12961E-01 -0.96353E+02 -0.52386E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10981E+03  0.13671E-04  0.97106E-03      3  0.00000E+00      0.000
       0.0619  0.22843E-01  0.14413E-02  0.22847E-01  0.14405E-02  0.27323E+00  0.14591E-02  0.89176E-04  0.14593E-02  0.89123E-04  0.18964E-01 -0.96228E+02 -0.52242E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10982E+03  0.46456E-04  0.15058E-02      4  0.00000E+00      0.000
       0.0904  0.21192E-01  0.14413E-02  0.21197E-01  0.14405E-02  0.24582E+00  0.20644E-02  0.13034E-03  0.20647E-02  0.13027E-03  0.25985E-01 -0.96051E+02 -0.52074E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10983E+03  0.13621E-03  0.22009E-02      5  0.00000E+00      0.000
       0.1276  0.18248E-01  0.14413E-02  0.18248E-01  0.14405E-02  0.21752E+00  0.27419E-02  0.18386E-03  0.27423E-02  0.18375E-03  0.34061E-01 -0.95825E+02 -0.51884E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10983E+03  0.36222E-03  0.31045E-02      6  0.00000E+00      0.000
       0.1758  0.13322E-01  0.14413E-02  0.13323E-01  0.14405E-02  0.18702E+00  0.33850E-02  0.25343E-03  0.33853E-02  0.25328E-03  0.43088E-01 -0.95550E+02 -0.51671E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.89380E-03  0.42791E-02      7  0.00000E+00      0.000
       0.2258  0.73607E-02  0.14413E-02  0.73656E-02  0.14405E-02  0.16005E+00  0.37530E-02  0.32550E-03  0.37536E-02  0.32531E-03  0.51091E-01 -0.95290E+02 -0.51477E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10985E+03  0.17425E-02  0.54961E-02      8  0.00000E+00      0.000
