 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:27
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100      -75.88  0.3427  0.2383E-01  0.8421E-03        -54.83  0.3529  0.9531E-02  0.8834E-03        -36.87  0.3610 -0.9652E-01  0.8834E-03
          0.0230      -75.96  0.3427  0.2356E-01  0.8420E-03        -54.98  0.3529 -0.5126E-01  0.8834E-03        -37.13  0.3608 -0.1840E+00  0.8833E-03
          0.0399      -76.14  0.3426  0.2295E-01  0.8420E-03        -55.22  0.3527 -0.1013E+00  0.8833E-03        -37.46  0.3607 -0.2376E+00  0.8833E-03
          0.0619      -76.43  0.3424  0.2164E-01  0.8420E-03        -55.53  0.3526 -0.1163E+00  0.8833E-03        -37.79  0.3606 -0.2353E+00  0.8833E-03
          0.0904      -76.79  0.3423  0.1917E-01  0.8420E-03        -55.90  0.3524 -0.1127E+00  0.8833E-03        -38.14  0.3604 -0.2141E+00  0.8833E-03
          0.1276      -77.21  0.3421  0.1476E-01  0.8419E-03        -56.30  0.3522 -0.9790E-01  0.8833E-03        -38.51  0.3603 -0.1811E+00  0.8833E-03
          0.1758      -77.62  0.3418  0.7361E-02  0.8419E-03        -56.71  0.3520 -0.8051E-01  0.8833E-03        -38.88  0.3601 -0.1453E+00  0.8833E-03
          0.2258      -77.95  0.3417 -0.1576E-02  0.8418E-03        -57.04  0.3519 -0.6798E-01  0.8833E-03        -39.18  0.3600 -0.1174E+00  0.8833E-03
          0.2758      -78.27  0.3415  0.9364E-02  0.8418E-03        -57.32  0.3518 -0.4957E-01  0.8833E-03        -39.42  0.3599 -0.9080E-01  0.8833E-03
          0.3258      -78.77  0.3413  0.8172E-01  0.8426E-03        -57.67  0.3516  0.5404E-03  0.8833E-03        -39.71  0.3597 -0.4696E-01  0.8833E-03
          0.3758      -79.31  0.3410  0.1431E+00  0.8433E-03        -58.06  0.3514  0.5278E-01  0.8833E-03        -40.02  0.3596  0.2017E-02  0.8833E-03
          0.4258      -79.84  0.3407  0.1876E+00  0.8438E-03        -58.47  0.3512  0.1002E+00  0.8833E-03        -40.36  0.3595  0.5038E-01  0.8833E-03
          0.4758      -80.30  0.3405  0.2108E+00  0.8441E-03        -58.85  0.3510  0.1353E+00  0.8833E-03        -40.67  0.3593  0.9157E-01  0.8833E-03
          0.5258      -80.64  0.3403  0.2104E+00  0.8442E-03        -59.16  0.3509  0.1548E+00  0.8834E-03        -40.94  0.3592  0.1218E+00  0.8833E-03
          0.5758      -80.83  0.3402  0.1865E+00  0.8440E-03        -59.38  0.3508  0.1564E+00  0.8833E-03        -41.14  0.3591  0.1372E+00  0.8833E-03
          0.6258      -80.84  0.3402  0.1414E+00  0.8437E-03        -59.47  0.3507  0.1400E+00  0.8833E-03        -41.25  0.3591  0.1368E+00  0.8833E-03
          0.6758      -80.68  0.3403  0.7946E-01  0.8431E-03        -59.43  0.3508  0.1072E+00  0.8833E-03        -41.25  0.3591  0.1204E+00  0.8833E-03
          0.7258      -80.36  0.3405  0.6862E-02  0.8424E-03        -59.27  0.3508  0.6110E-01  0.8833E-03        -41.15  0.3591  0.8957E-01  0.8833E-03
          0.7758      -80.16  0.3406 -0.1280E-02  0.8422E-03        -59.11  0.3509  0.4159E-01  0.8833E-03        -41.02  0.3592  0.6878E-01  0.8833E-03
          0.8258      -80.03  0.3407  0.7631E-02  0.8423E-03        -58.98  0.3510  0.3518E-01  0.8833E-03        -40.91  0.3592  0.5650E-01  0.8833E-03
          0.8758      -79.95  0.3407  0.1521E-01  0.8424E-03        -58.89  0.3510  0.3412E-01  0.8833E-03        -40.83  0.3593  0.4986E-01  0.8833E-03
          0.9258      -79.90  0.3407  0.2067E-01  0.8424E-03        -58.83  0.3510  0.3419E-01  0.8833E-03        -40.77  0.3593  0.4572E-01  0.8833E-03
          0.9629      -79.86  0.3407  0.2307E-01  0.8425E-03        -58.79  0.3511  0.3401E-01  0.8833E-03        -40.73  0.3593  0.4325E-01  0.8833E-03
          1.0000      -79.83  0.3407  0.2389E-01  0.8425E-03        -58.76  0.3511  0.3336E-01  0.8833E-03        -40.70  0.3593  0.4110E-01  0.8833E-03
end
