 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:26:33
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -136.15  0.3135  0.1375E-01  0.0000E+00       -118.97  0.3215 -0.1197E+01  0.9342E-03       -108.43  0.3266 -0.2066E+01  0.8835E-03
          0.0200     -137.24  0.3129  0.1204E-01  0.1244E-02       -119.92  0.3210 -0.1136E+01  0.9341E-03       -109.20  0.3262 -0.1989E+01  0.8835E-03
          0.0330     -138.80  0.3122  0.8115E-02  0.8760E-03       -121.34  0.3203 -0.1070E+01  0.9341E-03       -110.36  0.3257 -0.1892E+01  0.8835E-03
          0.0499     -140.59  0.3114  0.1869E-03  0.1026E-02       -122.99  0.3195 -0.1002E+01  0.9341E-03       -111.75  0.3250 -0.1784E+01  0.8835E-03
          0.0719     -142.74  0.3104 -0.1474E-01  0.9493E-03       -125.04  0.3186 -0.9348E+00  0.9341E-03       -113.53  0.3241 -0.1664E+01  0.8835E-03
          0.1004     -145.20  0.3093 -0.4151E-01  0.9953E-03       -127.47  0.3175 -0.8701E+00  0.9341E-03       -115.68  0.3230 -0.1539E+01  0.8835E-03
          0.1376     -147.96  0.3080 -0.8742E-01  0.9636E-03       -130.31  0.3161 -0.8136E+00  0.9342E-03       -118.28  0.3218 -0.1413E+01  0.8835E-03
          0.1858     -150.88  0.3066 -0.1619E+00  0.9870E-03       -133.52  0.3146 -0.7744E+00  0.9342E-03       -121.31  0.3203 -0.1297E+01  0.8834E-03
          0.2358     -153.33  0.3055 -0.2499E+00  0.9682E-03       -136.42  0.3133 -0.7589E+00  0.9342E-03       -124.14  0.3190 -0.1216E+01  0.8834E-03
          0.2858     -155.47  0.3047 -0.3181E+00  0.9827E-03       -138.99  0.3121 -0.7540E+00  0.9342E-03       -126.71  0.3178 -0.1160E+01  0.8835E-03
          0.3358     -157.64  0.3038 -0.3546E+00  0.9710E-03       -141.50  0.3110 -0.7462E+00  0.9343E-03       -129.22  0.3167 -0.1103E+01  0.8835E-03
          0.3858     -159.94  0.3028 -0.3848E+00  0.9800E-03       -144.18  0.3097 -0.7336E+00  0.9343E-03       -131.85  0.3154 -0.1037E+01  0.8835E-03
          0.4358     -162.39  0.3018 -0.4057E+00  0.9728E-03       -146.93  0.3085 -0.7141E+00  0.9344E-03       -134.53  0.3142 -0.9665E+00  0.8835E-03
          0.4858     -164.95  0.3007 -0.4153E+00  0.9785E-03       -149.71  0.3072 -0.6883E+00  0.9344E-03       -137.21  0.3130 -0.8965E+00  0.8835E-03
          0.5358     -167.57  0.2996 -0.4126E+00  0.9739E-03       -152.42  0.3060 -0.6571E+00  0.9345E-03       -139.80  0.3118 -0.8311E+00  0.8835E-03
          0.5858     -170.16  0.2985 -0.3979E+00  0.9776E-03       -154.97  0.3049 -0.6271E+00  0.9344E-03       -142.23  0.3106 -0.7739E+00  0.8835E-03
          0.6358     -172.65  0.2975 -0.3727E+00  0.9747E-03       -157.29  0.3039 -0.5968E+00  0.9345E-03       -144.42  0.3096 -0.7276E+00  0.8835E-03
          0.6858     -174.94  0.2965 -0.3394E+00  0.9770E-03       -159.29  0.3031 -0.5644E+00  0.9344E-03       -146.30  0.3087 -0.6938E+00  0.8835E-03
          0.7358     -176.98  0.2957 -0.3012E+00  0.9752E-03       -160.94  0.3024 -0.5315E+00  0.9344E-03       -147.85  0.3080 -0.6729E+00  0.8835E-03
          0.7858     -179.14  0.2948 -0.2109E+00  0.9769E-03       -162.31  0.3018 -0.4864E+00  0.9343E-03       -149.08  0.3075 -0.6587E+00  0.8834E-03
          0.8358     -181.45  0.2938 -0.1268E+00  0.9759E-03       -163.91  0.3012 -0.4365E+00  0.9343E-03       -150.44  0.3069 -0.6290E+00  0.8835E-03
          0.8858     -183.80  0.2929 -0.5714E-01  0.9769E-03       -165.59  0.3005 -0.3852E+00  0.9342E-03       -151.82  0.3062 -0.5922E+00  0.8835E-03
          0.9358     -186.08  0.2919 -0.8925E-02  0.9762E-03       -167.33  0.2997 -0.3389E+00  0.9342E-03       -153.26  0.3056 -0.5528E+00  0.8834E-03
          0.9679     -187.46  0.2913  0.8455E-02  0.9769E-03       -168.44  0.2993 -0.3125E+00  0.9342E-03       -154.19  0.3052 -0.5278E+00  0.8834E-03
          1.0000     -188.73  0.2908  0.1433E-01  0.9765E-03       -169.54  0.2988 -0.2912E+00  0.9342E-03       -155.12  0.3048 -0.5054E+00  0.8835E-03
end
