 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 3.2022    Time:  16:26:34
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  37  -108.0000    -118.942 0.3215   0.3586E+01  0.4809E-03 -0.5603E+00  0.0000E+00      -1  -0.129E-01   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -116.407 0.3227   0.3753E+01  0.4827E-03 -0.5766E+00  0.0000E+00      -1  -0.133E-01   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -113.864 0.3239   0.3921E+01  0.4845E-03 -0.5919E+00  0.0000E+00      -1  -0.136E-01   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -111.313 0.3252   0.4089E+01  0.4863E-03 -0.6071E+00  0.0000E+00      -1  -0.140E-01   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -108.755 0.3264   0.4258E+01  0.4881E-03 -0.6215E+00  0.0000E+00      -1  -0.143E-01   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -106.189 0.3277   0.4427E+01  0.4899E-03 -0.6359E+00  0.0000E+00      -1  -0.146E-01   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -103.617 0.3290   0.4597E+01  0.4917E-03 -0.6503E+00  0.0000E+00      -1  -0.150E-01   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -101.038 0.3302   0.4767E+01  0.4936E-03 -0.6633E+00  0.0000E+00      -1  -0.153E-01   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -98.452 0.3315   0.4937E+01  0.4954E-03 -0.6764E+00  0.0000E+00      -1  -0.156E-01   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -95.860 0.3328   0.5108E+01  0.4972E-03 -0.6887E+00  0.0000E+00      -1  -0.158E-01   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -93.258 0.3341   0.5358E+01  0.4974E-03 -0.7004E+00  0.0000E+00      -1  -0.161E-01   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -90.644 0.3354   0.5624E+01  0.4973E-03 -0.7121E+00  0.0000E+00      -1  -0.164E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -88.018 0.3367   0.5891E+01  0.4972E-03 -0.7234E+00  0.0000E+00      -1  -0.166E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -85.381 0.3380   0.6159E+01  0.4971E-03 -0.7348E+00  0.0000E+00      -1  -0.169E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -82.734 0.3393   0.6428E+01  0.4969E-03 -0.7443E+00  0.0000E+00      -1  -0.171E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -80.076 0.3406   0.6698E+01  0.4968E-03 -0.7545E+00  0.0000E+00      -1  -0.174E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -77.410 0.3420   0.6969E+01  0.4967E-03 -0.7652E+00  0.0000E+00      -1  -0.176E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -74.734 0.3433   0.7282E+01  0.4957E-03 -0.7724E+00  0.0000E+00      -1  -0.178E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -72.045 0.3446   0.7676E+01  0.4928E-03 -0.7814E+00  0.0000E+00      -1  -0.180E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -69.345 0.3459   0.8072E+01  0.4900E-03 -0.7894E+00  0.0000E+00      -1  -0.182E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -66.632 0.3472   0.8471E+01  0.4871E-03 -0.7959E+00  0.0000E+00      -1  -0.183E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -63.909 0.3486   0.8870E+01  0.4842E-03 -0.8054E+00  0.0000E+00      -1  -0.185E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -61.177 0.3499   0.9271E+01  0.4813E-03 -0.8126E+00  0.0000E+00      -1  -0.187E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -58.434 0.3512   0.9755E+01  0.4767E-03 -0.8171E+00  0.0000E+00      -1  -0.188E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -55.679 0.3525   0.1031E+02  0.4705E-03 -0.8224E+00  0.0000E+00      -1  -0.189E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -52.913 0.3538   0.1086E+02  0.4643E-03 -0.8288E+00  0.0000E+00      -1  -0.191E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -50.137 0.3551   0.1142E+02  0.4581E-03 -0.8353E+00  0.0000E+00      -1  -0.192E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -47.352 0.3564   0.1199E+02  0.4517E-03 -0.8394E+00  0.0000E+00      -1  -0.193E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -44.556 0.3576   0.1272E+02  0.4418E-03 -0.8433E+00  0.0000E+00      -1  -0.194E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -41.750 0.3588   0.1346E+02  0.4320E-03 -0.8496E+00  0.0000E+00      -1  -0.195E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -38.935 0.3601   0.1420E+02  0.4221E-03 -0.8527E+00  0.0000E+00      -1  -0.196E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -36.110 0.3613   0.1504E+02  0.4101E-03 -0.8555E+00  0.0000E+00      -1  -0.197E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -33.276 0.3624   0.1598E+02  0.3964E-03 -0.8596E+00  0.0000E+00      -1  -0.198E-01   20.00  0.8833E-03  0.1060E+00
  70  -207.0000     -30.433 0.3635   0.1692E+02  0.3827E-03 -0.8616E+00  0.0000E+00      -1  -0.198E-01   20.00  0.8833E-03  0.1060E+00
  71  -210.0000     -27.581 0.3646   0.1803E+02  0.3659E-03 -0.8655E+00  0.0000E+00      -1  -0.199E-01   20.00  0.8833E-03  0.1060E+00
  72  -213.0000     -24.721 0.3656   0.1920E+02  0.3483E-03 -0.8677E+00  0.0000E+00      -1  -0.200E-01   20.00  0.8833E-03  0.1060E+00
  73  -216.0000     -21.852 0.3666   0.2051E+02  0.3282E-03 -0.8681E+00  0.0000E+00      -1  -0.200E-01   20.00  0.8833E-03  0.1060E+00
  74  -219.0000     -18.975 0.3675   0.2191E+02  0.3067E-03 -0.8703E+00  0.0000E+00      -1  -0.200E-01   20.00  0.8833E-03  0.1060E+00
  75  -222.0000     -16.090 0.3683   0.2355E+02  0.2815E-03 -0.8717E+00  0.0000E+00      -1  -0.201E-01   20.00  0.8833E-03  0.1060E+00
  76  -225.0000     -13.197 0.3691   0.2537E+02  0.2537E-03 -0.8720E+00  0.0000E+00      -1  -0.201E-01   20.00  0.8833E-03  0.1060E+00
  77  -228.0000     -10.296 0.3698   0.2746E+02  0.2220E-03 -0.8759E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  78  -231.0000      -7.388 0.3704   0.2993E+02  0.1853E-03 -0.8759E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  79  -234.0000      -4.471 0.3709   0.3308E+02  0.1397E-03 -0.8778E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  80  -237.0000      -1.546 0.3712   0.3763E+02  0.7640E-04 -0.8812E+00  0.0000E+00      -1  -0.203E-01   20.00  0.8833E-03  0.1060E+00
  81  -240.0000       1.389 0.3713   0.4346E+02  0.0000E+00 -0.8739E+00  0.0000E+00      -1  -0.201E-01   20.00  0.8833E-03  0.1060E+00
  82  -243.0000       4.329 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  83  -246.0000       7.268 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  84  -249.0000      10.208 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  85  -252.0000      13.147 0.3713   0.4346E+02  0.0000E+00 -0.8837E+00  0.0000E+00      -1  -0.203E-01   20.00  0.8833E-03  0.1060E+00
  86  -255.0000      16.086 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  87  -258.0000      19.026 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  88  -261.0000      21.965 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  89  -264.0000      24.905 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  90  -267.0000      27.844 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  91  -270.0000      30.784 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  92  -273.0000      33.723 0.3713   0.4346E+02  0.0000E+00 -0.8837E+00  0.0000E+00      -1  -0.203E-01   20.00  0.8833E-03  0.1060E+00
  93  -276.0000      36.662 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  94  -279.0000      39.602 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  95  -282.0000      42.541 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  96  -285.0000      45.481 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  97  -288.0000      48.420 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8833E-03  0.1060E+00
  98  -291.0000      51.360 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8832E-03  0.1060E+00
  99  -294.0000      54.299 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8824E-03  0.1059E+00
 100  -297.0000      57.239 0.3713   0.4346E+02  0.0000E+00 -0.8765E+00  0.0000E+00      -1  -0.202E-01   20.00  0.8812E-03  0.1057E+00
 101  -300.0000      60.178 0.3713   0.4346E+02  0.0000E+00 -0.8837E+00  0.0000E+00      -1  -0.203E-01   20.00  0.8812E-03  0.1057E+00
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -243.230 0.2709   0.7507E+00  0.3284E-03  0.2243E-01  0.0000E+00      -1   0.516E-03   20.00  0.1017E-02  0.1220E+00
   2    -3.0000    -240.142 0.2719   0.7716E+00  0.3315E-03  0.2202E-01  0.0000E+00      -1   0.507E-03   20.00  0.1035E-02  0.1243E+00
   3    -6.0000    -237.060 0.2730   0.8064E+00  0.3352E-03  0.2149E-01  0.0000E+00      -1   0.494E-03   20.00  0.1046E-02  0.1255E+00
   4    -9.0000    -233.982 0.2740   0.8411E+00  0.3388E-03  0.2537E-01  0.2417E-02      -1   0.584E-03   20.00  0.1047E-02  0.1256E+00
   5   -12.0000    -230.879 0.2751   0.8763E+00  0.3425E-03  0.3388E-01  0.2420E-02      -1   0.779E-03   20.00  0.1038E-02  0.1246E+00
   6   -15.0000    -227.751 0.2763   0.9119E+00  0.3463E-03  0.4302E-01  0.2422E-02      -1   0.990E-03   20.00  0.1020E-02  0.1224E+00
   7   -18.0000    -224.597 0.2774   0.9480E+00  0.3501E-03  0.5249E-01  0.2424E-02      -1   0.121E-02   20.00  0.9948E-03  0.1194E+00
   8   -21.0000    -221.419 0.2785   0.9845E+00  0.3539E-03  0.6204E-01  0.2426E-02      -1   0.143E-02   20.00  0.9642E-03  0.1157E+00
   9   -24.0000    -218.219 0.2797   0.1021E+01  0.3578E-03  0.7139E-01  0.2403E-02      -1   0.164E-02   20.00  0.9367E-03  0.1124E+00
  10   -27.0000    -215.000 0.2809   0.1059E+01  0.3617E-03  0.8012E-01  0.2279E-02      -1   0.184E-02   20.00  0.9150E-03  0.1098E+00
