 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57: 1
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -204.35  0.2850  0.2027E-01  0.9696E-03       -184.11  0.2927 -0.1225E+00  0.9100E-03       -168.04  0.2994 -0.2404E+00  0.8833E-03
          0.0230     -204.58  0.2849  0.2028E-01  0.9695E-03       -184.32  0.2926 -0.1202E+00  0.9100E-03       -168.23  0.2994 -0.2377E+00  0.8833E-03
          0.0399     -204.90  0.2848  0.2027E-01  0.9695E-03       -184.63  0.2925 -0.1175E+00  0.9100E-03       -168.50  0.2992 -0.2338E+00  0.8833E-03
          0.0619     -205.30  0.2846  0.2027E-01  0.9695E-03       -185.01  0.2923 -0.1144E+00  0.9100E-03       -168.85  0.2991 -0.2290E+00  0.8833E-03
          0.0904     -205.81  0.2845  0.2027E-01  0.9695E-03       -185.50  0.2921 -0.1108E+00  0.9100E-03       -169.29  0.2989 -0.2228E+00  0.8833E-03
          0.1276     -206.45  0.2842  0.2027E-01  0.9695E-03       -186.11  0.2919 -0.1064E+00  0.9100E-03       -169.85  0.2987 -0.2149E+00  0.8833E-03
          0.1758     -207.25  0.2839  0.2027E-01  0.9695E-03       -186.88  0.2916 -0.1000E+00  0.9100E-03       -170.55  0.2984 -0.2044E+00  0.8833E-03
          0.2386     -208.25  0.2836  0.2027E-01  0.9695E-03       -187.83  0.2912 -0.9304E-01  0.9100E-03       -171.41  0.2980 -0.1913E+00  0.8833E-03
          0.3232     -210.67  0.2827  0.1031E+00  0.9706E-03       -189.34  0.2905 -0.5614E-01  0.9100E-03       -172.59  0.2975 -0.1631E+00  0.8833E-03
          0.4360     -215.11  0.2812  0.2137E+00  0.9721E-03       -192.32  0.2894  0.1699E-01  0.9101E-03       -174.79  0.2966 -0.9604E-01  0.8834E-03
          0.5770     -219.48  0.2795  0.2056E+00  0.9722E-03       -196.33  0.2879  0.6450E-01  0.9101E-03       -177.99  0.2953 -0.1520E-01  0.8834E-03
          0.7885     -220.48  0.2790  0.2027E-01  0.9703E-03       -199.33  0.2867  0.1724E-01  0.9101E-03       -181.10  0.2939  0.8748E-02  0.8834E-03
          1.0000     -221.38  0.2789  0.2027E-01  0.9703E-03       -200.11  0.2864  0.9326E-02  0.9100E-03       -182.08  0.2935 -0.9711E-02  0.8833E-03
end
