 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:56: 7
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -238.60  0.2727  0.5725E-01  0.9341E-03       -217.03  0.2804 -0.7010E-02  0.9033E-03       -199.60  0.2867 -0.6870E-01  0.8834E-03
          0.0230     -238.72  0.2726  0.5725E-01  0.9340E-03       -217.14  0.2804 -0.7396E-02  0.9034E-03       -199.72  0.2867 -0.6902E-01  0.8833E-03
          0.0399     -238.88  0.2725  0.5725E-01  0.9341E-03       -217.30  0.2803 -0.7659E-02  0.9033E-03       -199.89  0.2866 -0.6940E-01  0.8833E-03
          0.0619     -239.09  0.2725  0.5725E-01  0.9341E-03       -217.51  0.2802 -0.7935E-02  0.9033E-03       -200.10  0.2865 -0.6953E-01  0.8833E-03
          0.0904     -239.36  0.2724  0.5725E-01  0.9341E-03       -217.78  0.2802 -0.8119E-02  0.9033E-03       -200.37  0.2864 -0.6958E-01  0.8833E-03
          0.1276     -239.71  0.2722  0.5725E-01  0.9341E-03       -218.13  0.2800 -0.8178E-02  0.9033E-03       -200.72  0.2863 -0.6908E-01  0.8833E-03
          0.1758     -240.17  0.2721  0.5725E-01  0.9341E-03       -218.58  0.2799 -0.7867E-02  0.9033E-03       -201.16  0.2861 -0.6764E-01  0.8833E-03
          0.2386     -240.75  0.2719  0.5725E-01  0.9342E-03       -219.15  0.2797 -0.6928E-02  0.9033E-03       -201.71  0.2859 -0.6489E-01  0.8833E-03
          0.3232     -245.71  0.2704  0.2911E+00  0.9366E-03       -220.85  0.2791  0.5833E-01  0.9035E-03       -202.72  0.2856 -0.3699E-01  0.8834E-03
          0.4360     -256.12  0.2673  0.6036E+00  0.9395E-03       -224.98  0.2776  0.2140E+00  0.9038E-03       -204.91  0.2848  0.4544E-01  0.8834E-03
          0.5770     -263.31  0.2649  0.5807E+00  0.9396E-03       -229.89  0.2758  0.3170E+00  0.9039E-03       -207.99  0.2837  0.1342E+00  0.8833E-03
          0.7885     -255.69  0.2673  0.5725E-01  0.9356E-03       -231.08  0.2753  0.1796E+00  0.9037E-03       -210.31  0.2828  0.1203E+00  0.8833E-03
          1.0000     -254.20  0.2680  0.5725E-01  0.9358E-03       -230.96  0.2754  0.9918E-01  0.9037E-03       -211.29  0.2824  0.8041E-01  0.8833E-03
end
