 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27: 4
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  37  -108.0000    -139.957 0.3117   0.2709E+01  0.4572E-03 -0.6595E-01  0.0000E+00      -1  -0.152E-02   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -137.032 0.3130   0.2825E+01  0.4606E-03 -0.7303E-01  0.0000E+00      -1  -0.168E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -134.112 0.3144   0.2942E+01  0.4640E-03 -0.7995E-01  0.0000E+00      -1  -0.184E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -131.195 0.3157   0.3058E+01  0.4674E-03 -0.8616E-01  0.0000E+00      -1  -0.198E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -128.281 0.3171   0.3174E+01  0.4707E-03 -0.9206E-01  0.0000E+00      -1  -0.212E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -125.369 0.3184   0.3290E+01  0.4741E-03 -0.9762E-01  0.0000E+00      -1  -0.225E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -122.459 0.3198   0.3406E+01  0.4775E-03 -0.1035E+00  0.0000E+00      -1  -0.238E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -119.551 0.3212   0.3545E+01  0.4804E-03 -0.1097E+00  0.0000E+00      -1  -0.252E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -116.644 0.3226   0.3737E+01  0.4825E-03 -0.1146E+00  0.0000E+00      -1  -0.264E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -113.735 0.3240   0.3929E+01  0.4845E-03 -0.1199E+00  0.0000E+00      -1  -0.276E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000    -110.827 0.3254   0.4121E+01  0.4866E-03 -0.1250E+00  0.0000E+00      -1  -0.288E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000    -107.917 0.3269   0.4313E+01  0.4887E-03 -0.1294E+00  0.0000E+00      -1  -0.298E-02   20.00  0.8833E-03  0.1060E+00
  49  -144.0000    -105.007 0.3283   0.4505E+01  0.4907E-03 -0.1344E+00  0.0000E+00      -1  -0.309E-02   20.00  0.8833E-03  0.1060E+00
  50  -147.0000    -102.096 0.3297   0.4697E+01  0.4928E-03 -0.1385E+00  0.0000E+00      -1  -0.319E-02   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -99.184 0.3311   0.4889E+01  0.4949E-03 -0.1426E+00  0.0000E+00      -1  -0.328E-02   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -96.271 0.3326   0.5081E+01  0.4969E-03 -0.1462E+00  0.0000E+00      -1  -0.336E-02   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -93.356 0.3340   0.5348E+01  0.4974E-03 -0.1499E+00  0.0000E+00      -1  -0.345E-02   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -90.439 0.3355   0.5645E+01  0.4973E-03 -0.1542E+00  0.0000E+00      -1  -0.355E-02   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -87.520 0.3369   0.5941E+01  0.4972E-03 -0.1574E+00  0.0000E+00      -1  -0.362E-02   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -84.598 0.3384   0.6238E+01  0.4970E-03 -0.1601E+00  0.0000E+00      -1  -0.368E-02   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -81.674 0.3398   0.6535E+01  0.4969E-03 -0.1633E+00  0.0000E+00      -1  -0.376E-02   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -78.748 0.3413   0.6833E+01  0.4968E-03 -0.1662E+00  0.0000E+00      -1  -0.382E-02   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -75.820 0.3427   0.7130E+01  0.4966E-03 -0.1694E+00  0.0000E+00      -1  -0.390E-02   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -72.890 0.3442   0.7552E+01  0.4937E-03 -0.1724E+00  0.0000E+00      -1  -0.397E-02   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -69.957 0.3456   0.7983E+01  0.4906E-03 -0.1742E+00  0.0000E+00      -1  -0.401E-02   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -67.021 0.3471   0.8413E+01  0.4875E-03 -0.1752E+00  0.0000E+00      -1  -0.403E-02   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -64.082 0.3485   0.8845E+01  0.4844E-03 -0.1783E+00  0.0000E+00      -1  -0.410E-02   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -61.142 0.3499   0.9276E+01  0.4813E-03 -0.1812E+00  0.0000E+00      -1  -0.417E-02   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -58.199 0.3513   0.9802E+01  0.4761E-03 -0.1815E+00  0.0000E+00      -1  -0.418E-02   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -55.253 0.3527   0.1039E+02  0.4695E-03 -0.1835E+00  0.0000E+00      -1  -0.422E-02   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -52.305 0.3541   0.1098E+02  0.4629E-03 -0.1848E+00  0.0000E+00      -1  -0.425E-02   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -49.354 0.3555   0.1158E+02  0.4563E-03 -0.1854E+00  0.0000E+00      -1  -0.427E-02   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -46.401 0.3568   0.1224E+02  0.4483E-03 -0.1880E+00  0.0000E+00      -1  -0.432E-02   20.00  0.8833E-03  0.1060E+00
  70  -207.0000     -43.446 0.3581   0.1301E+02  0.4379E-03 -0.1907E+00  0.0000E+00      -1  -0.439E-02   20.00  0.8833E-03  0.1060E+00
  71  -210.0000     -40.489 0.3594   0.1379E+02  0.4275E-03 -0.1906E+00  0.0000E+00      -1  -0.438E-02   20.00  0.8833E-03  0.1060E+00
  72  -213.0000     -37.529 0.3607   0.1457E+02  0.4170E-03 -0.1899E+00  0.0000E+00      -1  -0.437E-02   20.00  0.8833E-03  0.1060E+00
  73  -216.0000     -34.567 0.3619   0.1555E+02  0.4026E-03 -0.1917E+00  0.0000E+00      -1  -0.441E-02   20.00  0.8833E-03  0.1060E+00
  74  -219.0000     -31.603 0.3631   0.1653E+02  0.3883E-03 -0.1930E+00  0.0000E+00      -1  -0.444E-02   20.00  0.8833E-03  0.1060E+00
  75  -222.0000     -28.637 0.3642   0.1761E+02  0.3724E-03 -0.1938E+00  0.0000E+00      -1  -0.446E-02   20.00  0.8833E-03  0.1060E+00
  76  -225.0000     -25.669 0.3653   0.1881E+02  0.3541E-03 -0.1944E+00  0.0000E+00      -1  -0.447E-02   20.00  0.8833E-03  0.1060E+00
  77  -228.0000     -22.699 0.3663   0.2009E+02  0.3346E-03 -0.1944E+00  0.0000E+00      -1  -0.447E-02   20.00  0.8833E-03  0.1060E+00
  78  -231.0000     -19.727 0.3673   0.2154E+02  0.3123E-03 -0.1940E+00  0.0000E+00      -1  -0.446E-02   20.00  0.8833E-03  0.1060E+00
  79  -234.0000     -16.753 0.3682   0.2316E+02  0.2874E-03 -0.1972E+00  0.0000E+00      -1  -0.454E-02   20.00  0.8833E-03  0.1060E+00
  80  -237.0000     -13.778 0.3690   0.2498E+02  0.2596E-03 -0.1957E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  81  -240.0000     -10.800 0.3697   0.2707E+02  0.2279E-03 -0.1945E+00  0.0000E+00      -1  -0.448E-02   20.00  0.8833E-03  0.1060E+00
  82  -243.0000      -7.821 0.3703   0.2955E+02  0.1910E-03 -0.1975E+00  0.0000E+00      -1  -0.455E-02   20.00  0.8833E-03  0.1060E+00
  83  -246.0000      -4.840 0.3708   0.3263E+02  0.1461E-03 -0.1971E+00  0.0000E+00      -1  -0.454E-02   20.00  0.8833E-03  0.1060E+00
  84  -249.0000      -1.857 0.3712   0.3701E+02  0.8490E-04 -0.1992E+00  0.0000E+00      -1  -0.458E-02   20.00  0.8833E-03  0.1060E+00
  85  -252.0000       1.128 0.3713   0.4346E+02  0.0000E+00 -0.1948E+00  0.0000E+00      -1  -0.448E-02   20.00  0.8833E-03  0.1060E+00
  86  -255.0000       4.115 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  87  -258.0000       7.101 0.3713   0.4346E+02  0.0000E+00 -0.2028E+00  0.0000E+00      -1  -0.467E-02   20.00  0.8833E-03  0.1060E+00
  88  -261.0000      10.087 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  89  -264.0000      13.074 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  90  -267.0000      16.060 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  91  -270.0000      19.047 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  92  -273.0000      22.033 0.3713   0.4346E+02  0.0000E+00 -0.2028E+00  0.0000E+00      -1  -0.467E-02   20.00  0.8833E-03  0.1060E+00
  93  -276.0000      25.019 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  94  -279.0000      28.006 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  95  -282.0000      30.992 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  96  -285.0000      33.979 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  97  -288.0000      36.965 0.3713   0.4346E+02  0.0000E+00 -0.2028E+00  0.0000E+00      -1  -0.467E-02   20.00  0.8833E-03  0.1060E+00
  98  -291.0000      39.951 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8833E-03  0.1060E+00
  99  -294.0000      42.938 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8824E-03  0.1059E+00
 100  -297.0000      45.924 0.3713   0.4346E+02  0.0000E+00 -0.1956E+00  0.0000E+00      -1  -0.450E-02   20.00  0.8802E-03  0.1056E+00
 101  -300.0000      48.911 0.3713   0.4346E+02  0.0000E+00 -0.1883E+00  0.0000E+00      -1  -0.433E-02   20.00  0.8802E-03  0.1056E+00
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -259.457 0.2662   0.6659E+00  0.3132E-03  0.2383E-01  0.0000E+00      -1   0.548E-03   20.00  0.9068E-03  0.1088E+00
   2    -3.0000    -256.333 0.2671   0.6827E+00  0.3162E-03  0.3151E-01  0.0000E+00      -1   0.725E-03   20.00  0.9054E-03  0.1087E+00
   3    -6.0000    -253.181 0.2681   0.6997E+00  0.3193E-03  0.3858E-01  0.0000E+00      -1   0.888E-03   20.00  0.8886E-03  0.1066E+00
   4    -9.0000    -250.003 0.2690   0.7169E+00  0.3223E-03  0.4665E-01  0.8912E-03      -1   0.107E-02   20.00  0.8818E-03  0.1058E+00
   5   -12.0000    -246.791 0.2699   0.7343E+00  0.3254E-03  0.5580E-01  0.8922E-03      -1   0.128E-02   20.00  0.8817E-03  0.1058E+00
   6   -15.0000    -243.547 0.2709   0.7521E+00  0.3286E-03  0.6456E-01  0.8932E-03      -1   0.149E-02   20.00  0.8826E-03  0.1059E+00
   7   -18.0000    -240.277 0.2719   0.7770E+00  0.3321E-03  0.7338E-01  0.8942E-03      -1   0.169E-02   20.00  0.8833E-03  0.1060E+00
   8   -21.0000    -236.984 0.2731   0.8150E+00  0.3361E-03  0.8224E-01  0.8951E-03      -1   0.189E-02   20.00  0.8834E-03  0.1060E+00
   9   -24.0000    -233.672 0.2743   0.8532E+00  0.3401E-03  0.9056E-01  0.8868E-03      -1   0.208E-02   20.00  0.8833E-03  0.1060E+00
  10   -27.0000    -230.347 0.2755   0.8916E+00  0.3441E-03  0.9815E-01  0.8409E-03      -1   0.226E-02   20.00  0.8833E-03  0.1060E+00
  11   -30.0000    -227.012 0.2767   0.9301E+00  0.3482E-03  0.1050E+00  0.7950E-03      -1   0.242E-02   20.00  0.8833E-03  0.1060E+00
  12   -33.0000    -223.670 0.2779   0.9688E+00  0.3522E-03  0.1110E+00  0.7490E-03      -1   0.255E-02   20.00  0.8833E-03  0.1060E+00
  13   -36.0000    -220.324 0.2791   0.1008E+01  0.3563E-03  0.1164E+00  0.7028E-03      -1   0.268E-02   20.00  0.8833E-03  0.1060E+00
  14   -39.0000    -216.977 0.2803   0.1046E+01  0.3604E-03  0.1210E+00  0.6566E-03      -1   0.278E-02   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -213.631 0.2815   0.1085E+01  0.3645E-03  0.1249E+00  0.6102E-03      -1   0.287E-02   20.00  0.8833E-03  0.1060E+00
