 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:14
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -236.123 0.2735   0.8315E+00  0.3378E-03  0.2435E-01  0.0000E+00      -1   0.560E-03   20.00  0.8389E-03  0.1006E+00
   2    -3.0000    -233.037 0.2747   0.8671E+00  0.3416E-03  0.2131E-01  0.0000E+00      -1   0.490E-03   20.00  0.8522E-03  0.1023E+00
   3    -6.0000    -229.975 0.2758   0.9024E+00  0.3453E-03  0.1512E-01  0.0000E+00      -1   0.348E-03   20.00  0.8650E-03  0.1038E+00
   4    -9.0000    -226.936 0.2769   0.9374E+00  0.3489E-03  0.1044E-01  0.9540E-03      -1   0.240E-03   20.00  0.8733E-03  0.1048E+00
   5   -12.0000    -223.908 0.2779   0.9723E+00  0.3526E-03  0.7260E-02  0.9549E-03      -1   0.167E-03   20.00  0.8792E-03  0.1055E+00
   6   -15.0000    -220.891 0.2790   0.1007E+01  0.3563E-03  0.3830E-02  0.9557E-03      -1   0.881E-04   20.00  0.8817E-03  0.1058E+00
   7   -18.0000    -217.885 0.2801   0.1042E+01  0.3599E-03  0.1431E-03  0.9565E-03      -1   0.329E-05   20.00  0.8833E-03  0.1060E+00
   8   -21.0000    -214.890 0.2812   0.1076E+01  0.3635E-03 -0.3800E-02  0.9573E-03      -1  -0.874E-04   20.00  0.8833E-03  0.1060E+00
   9   -24.0000    -211.906 0.2823   0.1111E+01  0.3671E-03 -0.7990E-02  0.9480E-03      -1  -0.184E-03   20.00  0.8833E-03  0.1060E+00
  10   -27.0000    -208.933 0.2833   0.1145E+01  0.3708E-03 -0.1263E-01  0.8988E-03      -1  -0.291E-03   20.00  0.8833E-03  0.1060E+00
  11   -30.0000    -205.972 0.2844   0.1179E+01  0.3743E-03 -0.1792E-01  0.8495E-03      -1  -0.412E-03   20.00  0.8833E-03  0.1060E+00
  12   -33.0000    -203.024 0.2855   0.1213E+01  0.3779E-03 -0.2389E-01  0.8001E-03      -1  -0.550E-03   20.00  0.8833E-03  0.1060E+00
  13   -36.0000    -200.090 0.2865   0.1247E+01  0.3815E-03 -0.3038E-01  0.7506E-03      -1  -0.699E-03   20.00  0.8833E-03  0.1060E+00
  14   -39.0000    -197.170 0.2876   0.1280E+01  0.3850E-03 -0.3739E-01  0.7010E-03      -1  -0.860E-03   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -194.265 0.2886   0.1314E+01  0.3885E-03 -0.4520E-01  0.6514E-03      -1  -0.104E-02   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -191.376 0.2897   0.1352E+01  0.3921E-03 -0.5417E-01  0.6017E-03      -1  -0.125E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -188.504 0.2909   0.1416E+01  0.3958E-03 -0.6450E-01  0.5518E-03      -1  -0.148E-02   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -185.649 0.2921   0.1479E+01  0.3995E-03 -0.7552E-01  0.5020E-03      -1  -0.174E-02   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -182.810 0.2933   0.1543E+01  0.4032E-03 -0.8697E-01  0.4520E-03      -1  -0.200E-02   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -179.987 0.2944   0.1605E+01  0.4069E-03 -0.9881E-01  0.4020E-03      -1  -0.227E-02   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -177.179 0.2956   0.1668E+01  0.4105E-03 -0.1110E+00  0.3519E-03      -1  -0.255E-02   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -174.386 0.2968   0.1730E+01  0.4142E-03 -0.1235E+00  0.3018E-03      -1  -0.284E-02   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -171.607 0.2979   0.1792E+01  0.4178E-03 -0.1360E+00  0.2516E-03      -1  -0.313E-02   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -168.841 0.2991   0.1854E+01  0.4214E-03 -0.1490E+00  0.2014E-03      -1  -0.343E-02   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -166.089 0.3002   0.1915E+01  0.4250E-03 -0.1625E+00  0.1511E-03      -1  -0.374E-02   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -163.350 0.3014   0.1976E+01  0.4285E-03 -0.1759E+00  0.1008E-03      -1  -0.405E-02   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -160.623 0.3025   0.2037E+01  0.4321E-03 -0.1891E+00  0.5042E-04      -1  -0.435E-02   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -157.907 0.3037   0.2097E+01  0.4356E-03 -0.2028E+00  0.0000E+00      -1  -0.467E-02   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -155.203 0.3048   0.2158E+01  0.4391E-03 -0.2165E+00  0.0000E+00      -1  -0.498E-02   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -152.509 0.3059   0.2218E+01  0.4426E-03 -0.2302E+00  0.0000E+00      -1  -0.530E-02   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -149.823 0.3071   0.2316E+01  0.4458E-03 -0.2446E+00  0.0000E+00      -1  -0.563E-02   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -147.142 0.3084   0.2422E+01  0.4489E-03 -0.2588E+00  0.0000E+00      -1  -0.596E-02   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -144.464 0.3096   0.2529E+01  0.4520E-03 -0.2727E+00  0.0000E+00      -1  -0.628E-02   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -141.789 0.3108   0.2636E+01  0.4551E-03 -0.2864E+00  0.0000E+00      -1  -0.659E-02   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -139.116 0.3121   0.2742E+01  0.4582E-03 -0.2994E+00  0.0000E+00      -1  -0.689E-02   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -136.444 0.3133   0.2849E+01  0.4613E-03 -0.3124E+00  0.0000E+00      -1  -0.719E-02   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -133.774 0.3146   0.2955E+01  0.4644E-03 -0.3251E+00  0.0000E+00      -1  -0.748E-02   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -131.104 0.3158   0.3062E+01  0.4675E-03 -0.3368E+00  0.0000E+00      -1  -0.775E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -128.434 0.3170   0.3168E+01  0.4705E-03 -0.3479E+00  0.0000E+00      -1  -0.801E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -125.763 0.3183   0.3274E+01  0.4736E-03 -0.3591E+00  0.0000E+00      -1  -0.826E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -123.092 0.3195   0.3381E+01  0.4767E-03 -0.3702E+00  0.0000E+00      -1  -0.852E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -120.420 0.3207   0.3488E+01  0.4798E-03 -0.3809E+00  0.0000E+00      -1  -0.876E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -117.744 0.3220   0.3665E+01  0.4817E-03 -0.3914E+00  0.0000E+00      -1  -0.901E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -115.061 0.3234   0.3842E+01  0.4836E-03 -0.4020E+00  0.0000E+00      -1  -0.925E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -112.372 0.3247   0.4019E+01  0.4855E-03 -0.4112E+00  0.0000E+00      -1  -0.946E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -109.675 0.3260   0.4197E+01  0.4874E-03 -0.4203E+00  0.0000E+00      -1  -0.967E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000    -106.973 0.3273   0.4375E+01  0.4893E-03 -0.4302E+00  0.0000E+00      -1  -0.990E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000    -104.265 0.3286   0.4554E+01  0.4913E-03 -0.4378E+00  0.0000E+00      -1  -0.101E-01   20.00  0.8833E-03  0.1060E+00
  49  -144.0000    -101.550 0.3300   0.4733E+01  0.4932E-03 -0.4456E+00  0.0000E+00      -1  -0.103E-01   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -98.830 0.3313   0.4913E+01  0.4951E-03 -0.4543E+00  0.0000E+00      -1  -0.105E-01   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -96.105 0.3326   0.5092E+01  0.4971E-03 -0.4615E+00  0.0000E+00      -1  -0.106E-01   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -93.372 0.3340   0.5347E+01  0.4974E-03 -0.4682E+00  0.0000E+00      -1  -0.108E-01   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -90.630 0.3354   0.5625E+01  0.4973E-03 -0.4752E+00  0.0000E+00      -1  -0.109E-01   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -87.879 0.3367   0.5905E+01  0.4972E-03 -0.4821E+00  0.0000E+00      -1  -0.111E-01   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -85.120 0.3381   0.6185E+01  0.4970E-03 -0.4885E+00  0.0000E+00      -1  -0.112E-01   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -82.353 0.3395   0.6466E+01  0.4969E-03 -0.4934E+00  0.0000E+00      -1  -0.114E-01   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -79.578 0.3409   0.6748E+01  0.4968E-03 -0.4993E+00  0.0000E+00      -1  -0.115E-01   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -76.797 0.3423   0.7031E+01  0.4967E-03 -0.5050E+00  0.0000E+00      -1  -0.116E-01   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -74.008 0.3436   0.7388E+01  0.4949E-03 -0.5092E+00  0.0000E+00      -1  -0.117E-01   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -71.210 0.3450   0.7799E+01  0.4919E-03 -0.5145E+00  0.0000E+00      -1  -0.118E-01   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -68.404 0.3464   0.8211E+01  0.4890E-03 -0.5183E+00  0.0000E+00      -1  -0.119E-01   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -65.589 0.3478   0.8624E+01  0.4860E-03 -0.5230E+00  0.0000E+00      -1  -0.120E-01   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -62.768 0.3491   0.9038E+01  0.4830E-03 -0.5269E+00  0.0000E+00      -1  -0.121E-01   20.00  0.8833E-03  0.1060E+00
  64  -189.0000     -59.939 0.3505   0.9453E+01  0.4800E-03 -0.5297E+00  0.0000E+00      -1  -0.122E-01   20.00  0.8833E-03  0.1060E+00
  65  -192.0000     -57.103 0.3519   0.1002E+02  0.4737E-03 -0.5324E+00  0.0000E+00      -1  -0.123E-01   20.00  0.8833E-03  0.1060E+00
  66  -195.0000     -54.258 0.3532   0.1059E+02  0.4673E-03 -0.5364E+00  0.0000E+00      -1  -0.123E-01   20.00  0.8833E-03  0.1060E+00
  67  -198.0000     -51.407 0.3545   0.1116E+02  0.4609E-03 -0.5393E+00  0.0000E+00      -1  -0.124E-01   20.00  0.8833E-03  0.1060E+00
  68  -201.0000     -48.548 0.3559   0.1174E+02  0.4545E-03 -0.5410E+00  0.0000E+00      -1  -0.124E-01   20.00  0.8833E-03  0.1060E+00
  69  -204.0000     -45.683 0.3571   0.1243E+02  0.4458E-03 -0.5450E+00  0.0000E+00      -1  -0.125E-01   20.00  0.8833E-03  0.1060E+00
