date,filed,Red,Blue,Green,NIR,RedEdge,dsm,NDVI,GNDVI,LCI,NDRE,OSAVI,obs_lai
2020/6/21,14,893.3828125,1265.631104,1319.350708,1970.327515,1842.854614,5.367904186,0.358995289,0.183832645,0.036981691,0.027904924,0.079441905,0.338017864
2020/6/26,1,898.9133911,1289.329346,1453.808228,4055.194824,2903.022217,5.560031891,0.611774981,0.451516151,0.220049232,0.157610625,0.199391738,0.845108859
2020/6/26,2,1014.308899,1378.031372,1600.300171,4263.584473,3194.565918,5.736574173,0.585932016,0.428795338,0.188021436,0.13414897,0.200133994,1.336839543
2020/6/26,3,867.7276611,1220.281494,1484.55481,4630.791504,3316.156738,5.832061768,0.66339922,0.497045994,0.228316829,0.159439594,0.23004204,0.883415208
2020/6/26,4,1142.955933,1440.638916,1912.882935,4874.616211,3760.1875,5.521877289,0.603419542,0.425444484,0.178474963,0.125091583,0.221241742,0.98482096
2020/6/26,5,1020.913086,1346.768188,1673.915649,4918.061523,3626.494141,5.740562916,0.633396149,0.473804295,0.206554174,0.145132914,0.231187493,0.952681811
2020/6/26,6,1046.952759,1393.418823,1803.305176,5470.168945,3995.80835,5.77901125,0.655680358,0.487134635,0.215796486,0.150227845,0.25227204,0.684722912
2020/6/26,7,1047.119507,1263.657593,1609.675537,3398.520508,2765.529541,5.460969925,0.491997242,0.344367802,0.137585491,0.101371244,0.148081616,0.793370406
2020/6/26,8,737.3648071,1069.957275,1238.07373,3963.205811,2711.149414,5.616645336,0.666466534,0.507051885,0.255395442,0.181484252,0.208250389,1.104580292
2020/6/26,9,998.5305176,1246.696167,1427.69751,3577.54126,2692.087158,5.549273968,0.535947561,0.407651603,0.182360783,0.134241819,0.166588187,1.062387751
2020/6/26,10,1055.246338,1281.063843,1432.457886,2804.661133,2390.653076,5.484550953,0.414619803,0.289972335,0.092647642,0.067446977,0.117181771,0.632435526
2020/6/26,11,974.5806885,1277.119385,1668.970581,4428.530273,3455.354736,5.517003059,0.626754701,0.447134942,0.177966997,0.123427562,0.211334631,1.167905995
2020/6/26,12,951.1618652,1281.475952,1410.133667,3262.153076,2593.794922,5.581711769,0.524392247,0.377057135,0.149084851,0.108519644,0.152673185,0.54194637
2020/6/26,13_1,1096.037109,1356.097412,1855.969604,4204.876465,3312.550293,5.51990366,0.575818896,0.382557631,0.165544301,0.117306404,0.192641541,0.683178666
2020/6/26,13_2,748.9644775,1048.968628,1180.720581,3306.940186,2451.283203,5.673731327,0.606509209,0.453971952,0.198977828,0.141198844,0.171921164,0.743779191
2020/6/26,13_3,1255.869629,1542.142944,1653.252319,4273.84375,3143.962891,5.553575039,0.536349893,0.427199066,0.198557407,0.147031814,0.184755877,1.013375656
2020/6/26,13_4,773.6616211,1071.160522,1211.063721,3619.358398,2591.47876,5.675843239,0.626717925,0.480983138,0.223896295,0.159403428,0.187407881,1.014284891
2020/6/26,14,819.1051025,1081.616577,1320.077393,3483.942139,2665.274902,5.512135506,0.603837669,0.439164102,0.182597026,0.12894313,0.177064463,0.410308919
2020/7/1,1,542.3157349,837.3893433,1052.142578,4612.374512,2769.733398,5.594778538,0.772264302,0.61311841,0.346071482,0.243036598,0.254275739,1.689090615
2020/7/1,2,585.6793823,898.8157349,1182.079956,5130.686035,3267.105957,5.822024345,0.783597112,0.616041958,0.318843126,0.218569964,0.275942773,1.512734948
2020/7/1,3,534.0897827,849.0098267,1211.373901,5760.208984,3597.099365,5.913699627,0.823059738,0.645456314,0.336681187,0.227595091,0.307221979,1.304645677
2020/7/1,4,910.4345093,1184.387207,1850.633423,6257.752441,4394.946777,5.582722187,0.741717637,0.542310059,0.25801608,0.174240679,0.297858775,0.54586086
2020/7/1,5,568.0422974,872.6209106,1228.895264,5460.874023,3519.980957,5.771226883,0.802473426,0.624025643,0.313599646,0.211792856,0.290517271,0.750166265
2020/7/1,6,602.6378784,937.3814697,1366.545654,6551.754883,4105.119629,5.878708839,0.821708083,0.645702124,0.332609564,0.224452391,0.328862667,1.466277928
2020/7/1,7,550.2993774,724.9526367,1001.706482,2686.670654,1992.666504,5.504434586,0.630333662,0.437676936,0.2013648,0.140671581,0.147129461,1.205742807
2020/7/1,8,379.9996338,622.1502075,835.5186157,4262.94043,2490.434814,5.691559792,0.829293132,0.664389431,0.374835372,0.258769363,0.252866328,1.809753331
2020/7/1,9,545.1925049,749.5725708,1101.810425,4448.391602,2907.119385,5.564673424,0.760462999,0.587675691,0.298356146,0.204720244,0.244878396,1.58429954
2020/7/1,10,692.3521729,916.821228,1088.749023,2549.121338,2026.088867,5.494329453,0.517751634,0.351821244,0.134707019,0.093114048,0.129406705,0.972528969
2020/7/1,11,665.2304077,881.7682495,1260.919434,4023.698486,2964.337646,5.533403873,0.7047683,0.514163435,0.217650324,0.147632524,0.21309413,1.480918359
2020/7/1,12,571.8643188,806.7841187,1038.311035,3634.780273,2516.483643,5.564023018,0.706396103,0.536612391,0.25158748,0.174349055,0.202309608,1.098234949
2020/7/1,13_1,800.6409302,1027.785767,1559.71228,5114.520508,3554.839111,5.553328037,0.726247311,0.533981502,0.262964815,0.1801631,0.258083671,0.645587968
2020/7/1,13_2,350.7238464,579.8650513,750.8136597,3265.59375,2114.134277,5.67384243,0.796660066,0.616670251,0.308272928,0.208282173,0.20230107,1.110533494
2020/7/1,13_3,627.3903198,844.1523438,1101.906982,3950.93042,2767.14502,5.599380016,0.706861794,0.547295392,0.245968446,0.168511838,0.215550259,1.144074037
2020/7/1,13_4,336.6470337,563.0584106,709.6650391,3286.165771,2047.913696,5.687857628,0.80297488,0.633531213,0.332135797,0.226758286,0.204889342,1.437171222
2020/7/1,14,417.5560913,610.84729,852.4260254,2512.280029,1861.526001,5.515529156,0.702757657,0.484270483,0.210597456,0.142309383,0.152961075,0.520622004
2020/7/6,1,600.1057739,1091.640503,1275.684692,7724.529785,4022.088867,5.709906101,0.849733293,0.710746944,0.43950206,0.312361896,0.374835879,2.532977061
2020/7/6,2,704.1800537,1240.332642,1515.68103,8316.452148,4758.643066,5.986970901,0.840490222,0.688896418,0.391992748,0.271255076,0.387478381,1.591240132
2020/7/6,3,678.0753784,1157.774048,1515.696289,8529.498047,4889.3125,6.051432133,0.848864973,0.694787025,0.391865939,0.269792795,0.395301044,1.503621882
2020/7/6,4,904.3397827,1358.547974,1989.360596,9478.53418,5741.796875,5.636179447,0.823283792,0.650733471,0.357424557,0.244291782,0.408815265,1.681642556
2020/7/6,5,721.9250488,1175.603882,1541.242798,8125.041504,4773.501953,5.941414356,0.831329942,0.676262021,0.374249905,0.257567495,0.378913105,1.671939802
2020/7/6,6,812.7589722,1282.448242,1637.117432,8165.288086,4858.561523,6.016997814,0.808753729,0.657555044,0.361237258,0.250123233,0.371720254,0.985904981
2020/7/6,7,981.7757568,1361.649414,1819.519165,6565.556641,4245.304688,5.418545723,0.731163085,0.559331357,0.301633626,0.211129546,0.305089295,1.331090828
2020/7/6,8,558.4345703,979.2955933,1224.343018,7293.895996,3914.210693,5.783665657,0.852497756,0.707987428,0.425640821,0.299104482,0.363597125,1.40219127
2020/7/6,9,686.9455566,1108.300049,1404.349487,7270.806152,4195.238281,5.646447182,0.818652749,0.6689592,0.380897373,0.265458524,0.352928042,1.070493895
2020/7/6,10,1095.587646,1513.02417,1564.045532,4609.304688,3182.880859,5.361618042,0.588576972,0.468985796,0.234914437,0.171858326,0.211616844,1.953900222
2020/7/6,11,786.6183472,1177.23291,1492.759399,6191.416504,3973.71875,5.575258255,0.767280638,0.606221676,0.313072622,0.215921536,0.304993063,1.96297264
2020/7/6,12,811.5205078,1253.542969,1390.592773,5542.354004,3453.565674,5.498239517,0.729274631,0.585142434,0.319034874,0.226470619,0.276312202,1.048486052
2020/7/6,13_1,870.9538574,1263.954956,1711.948853,7136.510254,4363.88916,5.553683758,0.778036237,0.609143853,0.342560589,0.239163131,0.336128205,0.973594812
2020/7/6,13_2,730.6724854,1171.473511,1319.814087,5942.172852,3598.750977,5.703977108,0.766173601,0.623279095,0.340965003,0.23958388,0.298403203,1.064076495
2020/7/6,13_3,936.5093994,1359.133423,1477.726563,5256.530273,3481.056152,5.561619282,0.676325023,0.542723238,0.274891466,0.195536315,0.253562897,0.733493277
2020/7/6,13_4,740.6959839,1175.705933,1301.669678,6048.358398,3584.390869,5.71664238,0.765527368,0.631713331,0.352767766,0.249910101,0.301550597,1.387299031
2020/7/6,14,865.2836914,1228.616211,1672.071289,6622.900391,4336.284668,5.49151659,0.762221992,0.592280746,0.300072104,0.205892712,0.316130817,0.572149451
2020/7/13,1,137.9649658,311.925415,350.6106262,3277.034912,1376.731323,5.857263088,0.917418897,0.804449618,0.554052413,0.407279015,0.224909976,2.069787469
2020/7/13,2,178.7862854,359.8053894,454.6056213,3501.875244,1698.588989,6.06096077,0.901403129,0.768937469,0.488303423,0.3462874,0.233642474,0.882415871
2020/7/13,3,181.9985657,369.9482117,466.2586365,3671.557861,1765.110596,6.159506798,0.904505193,0.773856461,0.493539274,0.350613147,0.242524236,0.969513416
2020/7/13,4,198.9901886,368.4040527,507.397583,3434.686523,1768.851563,5.851997375,0.888455093,0.740030885,0.45530957,0.318589479,0.228325918,1.764958435
2020/7/13,5,207.4779205,375.8446655,472.6854553,2940.721191,1564.704468,5.991372585,0.862121284,0.717011869,0.431086212,0.302259475,0.199101061,2.123790335
2020/7/13,6,191.5371552,366.6072693,462.7319336,3219.614014,1628.971802,6.116092682,0.883020282,0.743993998,0.461341977,0.325327784,0.216468811,1.612676399
2020/7/13,7,511.1783752,885.1029663,1228.820923,7416.630859,4026.41626,5.605416775,0.868172884,0.712370455,0.423949122,0.294461519,0.372263849,1.958373116
2020/7/13,8,436.099762,886.6082764,1058.211792,8666.870117,4080.27124,5.899754047,0.901734293,0.779890358,0.500916898,0.358510613,0.417438865,2.831049459
2020/7/13,9,574.5054932,1044.85083,1267.049683,8322.613281,4313.755371,5.789430618,0.864770174,0.729899466,0.445148915,0.314384073,0.395830452,2.026460815
2020/7/13,10,675.4267578,1131.272339,1280.042114,6449.655273,3768.794678,5.608257294,0.789888263,0.64943248,0.360659242,0.252289683,0.320197403,1.636100078
2020/7/13,11,703.2526855,1215.79895,1553.933594,9044.291992,5150.970215,5.670807362,0.849122524,0.700533867,0.393273205,0.270937145,0.407396585,2.925622031
2020/7/13,12,723.8551636,1268.863281,1610.997681,9604.289063,5301.47168,5.64458847,0.852792621,0.705249548,0.408941865,0.284181148,0.421740383,2.67091449
2020/7/13,13_1,170.1693726,327.5722961,386.4268799,2518.099609,1257.582275,5.734334946,0.869446516,0.728513658,0.464100748,0.331129581,0.176943064,1.280042813
2020/7/13,13_2,162.2402649,326.3014221,361.9647217,2252.295654,1155.780151,5.819494247,0.857686043,0.714585125,0.44652155,0.317396253,0.160872936,1.064113063
2020/7/13,13_3,232.7974243,411.9006042,449.8116455,2183.493408,1257.463379,5.657408237,0.790038466,0.640729308,0.371910155,0.262601674,0.148148969,1.484414809
2020/7/13,13_4,172.2461243,341.2619019,374.6083069,2315.892578,1186.921997,5.806768417,0.852440178,0.712449014,0.446101725,0.318106651,0.164016157,1.761401846
2020/7/13,14,206.267395,364.6095886,452.223877,2278.608887,1287.44751,5.544595242,0.822948158,0.65848875,0.389867961,0.272975028,0.158315793,1.192208022
2020/7/20,1,331.9687805,792.3392334,858.1115112,10023.83984,3761.617188,5.972735882,0.935384989,0.841915727,0.604205549,0.454694659,0.462684423,2.903079972
2020/7/20,2,470.8797302,960.0061035,1150.665527,10529.31836,4557.056152,6.144470215,0.914316535,0.803542256,0.543282211,0.396995991,0.466100425,5.025852039
2020/7/20,3,468.0781555,966.579834,1138.021606,10570.44824,4543.158691,6.23672533,0.915157735,0.806327641,0.5465312,0.400248677,0.467446446,2.854478936
2020/7/20,4,501.1065674,966.1516724,1231.797241,10421.64941,4781.071777,5.976125717,0.907492876,0.787912428,0.514980197,0.370706946,0.460878044,2.150813369
2020/7/20,5,488.2330933,940.6976929,1154.555298,9264.640625,4323.828613,6.094044685,0.898580432,0.777460694,0.505278349,0.363631159,0.430717945,3.603698403
2020/7/20,6,452.6098938,925.4530029,1109.443848,9975.547852,4386.792969,6.204350471,0.912545919,0.799633265,0.535142362,0.389362395,0.452608794,2.483921983
