0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6008E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.74622E-06,0.74622E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.74622E-06,0.74622E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6008E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.74622E-06,0.74622E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6008E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.49748E-06,0.49748E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6008E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.62019E-06,0.62019E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6008E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.41346E-06,0.41346E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.41346E-06,0.41346E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.62019E-06,0.62019E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.49748E-06,0.49748E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.41346E-06,0.41346E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.62066E-06,0.62066E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6007E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.62066E-06,0.62066E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.62066E-06,0.62066E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.49653E-06,0.49653E-06
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.63674E-05,0.63674E-05
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6134E-04,0.7695E-01,0.6004E-04,0.7695E-01,0.4112E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.50939E-05,0.50939E-05
0.5855E-04,0.7695E-01,0.6184E-04,0.7695E-01,0.6133E-04,0.7695E-01,0.6007E-04,0.7695E-01,0.4109E-04,0.7002E-01,0.4219E-04,0.7002E-01,0.4190E-04,0.7002E-01,0.50939E-05,0.50939E-05
