 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:28:34
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100      -97.62  0.3319  0.2829E-01  0.1045E-02        -76.44  0.3424  0.7437E-01  0.9634E-03        -58.24  0.3513  0.1083E+00  0.8850E-03
          0.0230      -97.57  0.3319  0.2830E-01  0.1044E-02        -76.39  0.3425  0.7556E-01  0.9634E-03        -58.18  0.3513  0.1164E+00  0.8850E-03
          0.0399      -97.49  0.3320  0.2830E-01  0.1044E-02        -76.30  0.3425  0.7787E-01  0.9634E-03        -58.09  0.3514  0.1231E+00  0.8850E-03
          0.0619      -97.38  0.3320  0.2830E-01  0.1044E-02        -76.20  0.3426  0.7944E-01  0.9634E-03        -57.98  0.3514  0.1242E+00  0.8850E-03
          0.0904      -97.25  0.3321  0.2829E-01  0.1044E-02        -76.06  0.3426  0.7867E-01  0.9634E-03        -57.85  0.3515  0.1205E+00  0.8850E-03
          0.1276      -97.08  0.3322  0.2829E-01  0.1045E-02        -75.90  0.3427  0.7514E-01  0.9634E-03        -57.70  0.3516  0.1125E+00  0.8850E-03
          0.1758      -96.89  0.3323  0.2829E-01  0.1045E-02        -75.72  0.3428  0.6948E-01  0.9634E-03        -57.54  0.3516  0.1016E+00  0.8850E-03
          0.2386      -96.69  0.3324  0.2829E-01  0.1045E-02        -75.53  0.3429  0.6250E-01  0.9634E-03        -57.37  0.3517  0.8895E-01  0.8850E-03
          0.3232      -97.09  0.3322  0.1439E+00  0.1046E-02        -75.63  0.3429  0.1216E+00  0.9634E-03        -57.38  0.3517  0.1197E+00  0.8850E-03
          0.4360      -98.12  0.3317  0.2983E+00  0.1047E-02        -76.20  0.3426  0.2301E+00  0.9635E-03        -57.73  0.3516  0.1997E+00  0.8850E-03
          0.5770      -98.56  0.3314  0.2870E+00  0.1047E-02        -76.60  0.3423  0.2548E+00  0.9635E-03        -58.07  0.3514  0.2364E+00  0.8850E-03
          0.7885      -96.96  0.3321  0.2830E-01  0.1045E-02        -75.76  0.3427  0.8653E-01  0.9634E-03        -57.54  0.3516  0.1178E+00  0.8850E-03
          1.0000      -96.54  0.3325  0.2830E-01  0.1045E-02        -75.38  0.3430  0.6142E-01  0.9634E-03        -57.23  0.3518  0.8263E-01  0.8850E-03
end
