 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:57:38
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100      -92.81  0.3343  0.3613E-01  0.1049E-02        -71.82  0.3447 -0.4246E-01  0.9675E-03        -53.97  0.3533 -0.1060E+00  0.8850E-03
          0.0230      -92.91  0.3342  0.3613E-01  0.1049E-02        -71.92  0.3447 -0.4755E-01  0.9675E-03        -54.09  0.3533 -0.1240E+00  0.8850E-03
          0.0399      -93.06  0.3342  0.3613E-01  0.1049E-02        -72.08  0.3446 -0.5416E-01  0.9675E-03        -54.27  0.3532 -0.1380E+00  0.8850E-03
          0.0619      -93.25  0.3341  0.3613E-01  0.1049E-02        -72.28  0.3445 -0.5746E-01  0.9675E-03        -54.47  0.3531 -0.1388E+00  0.8850E-03
          0.0904      -93.51  0.3339  0.3613E-01  0.1049E-02        -72.53  0.3444 -0.5545E-01  0.9675E-03        -54.72  0.3530 -0.1302E+00  0.8850E-03
          0.1276      -93.81  0.3338  0.3613E-01  0.1049E-02        -72.83  0.3442 -0.4800E-01  0.9675E-03        -54.99  0.3528 -0.1137E+00  0.8850E-03
          0.1758      -94.16  0.3336  0.3612E-01  0.1049E-02        -73.15  0.3441 -0.3677E-01  0.9675E-03        -55.29  0.3527 -0.9230E-01  0.8850E-03
          0.2386      -94.53  0.3334  0.3612E-01  0.1049E-02        -73.50  0.3439 -0.2341E-01  0.9675E-03        -55.60  0.3526 -0.6823E-01  0.8850E-03
          0.3232      -95.69  0.3329  0.1837E+00  0.1050E-02        -74.25  0.3435  0.7647E-01  0.9676E-03        -56.15  0.3523  0.1411E-01  0.8850E-03
          0.4360      -97.63  0.3319  0.3809E+00  0.1052E-02        -75.55  0.3429  0.2382E+00  0.9677E-03        -57.13  0.3519  0.1576E+00  0.8850E-03
          0.5770      -98.74  0.3313  0.3665E+00  0.1053E-02        -76.56  0.3423  0.2889E+00  0.9676E-03        -57.99  0.3514  0.2390E+00  0.8850E-03
          0.7885      -97.14  0.3320  0.3612E-01  0.1050E-02        -75.92  0.3426  0.9051E-01  0.9675E-03        -57.69  0.3515  0.1164E+00  0.8850E-03
          1.0000      -96.84  0.3323  0.3613E-01  0.1050E-02        -75.66  0.3428  0.6764E-01  0.9676E-03        -57.49  0.3517  0.8662E-01  0.8850E-03
end
