 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:56: 3
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -194.03  0.2887  0.1425E+00  0.8713E-03       -175.86  0.2962 -0.5428E+00  0.8834E-03       -165.25  0.3006 -0.9248E+00  0.8834E-03
          0.0230     -195.01  0.2883  0.1425E+00  0.8717E-03       -176.60  0.2959 -0.5096E+00  0.8833E-03       -165.71  0.3004 -0.8900E+00  0.8833E-03
          0.0399     -196.42  0.2879  0.1425E+00  0.8717E-03       -177.67  0.2954 -0.4664E+00  0.8833E-03       -166.38  0.3001 -0.8432E+00  0.8833E-03
          0.0619     -198.00  0.2873  0.1425E+00  0.8718E-03       -178.94  0.2949 -0.4223E+00  0.8833E-03       -167.22  0.2998 -0.7902E+00  0.8833E-03
          0.0904     -199.95  0.2866  0.1425E+00  0.8718E-03       -180.53  0.2942 -0.3730E+00  0.8833E-03       -168.33  0.2993 -0.7285E+00  0.8833E-03
          0.1276     -202.21  0.2858  0.1425E+00  0.8718E-03       -182.45  0.2934 -0.3228E+00  0.8833E-03       -169.73  0.2987 -0.6609E+00  0.8833E-03
          0.1758     -204.87  0.2848  0.1425E+00  0.8719E-03       -184.75  0.2924 -0.2711E+00  0.8833E-03       -171.48  0.2980 -0.5881E+00  0.8833E-03
          0.2386     -207.95  0.2837  0.1425E+00  0.8720E-03       -187.47  0.2913 -0.2196E+00  0.8833E-03       -173.62  0.2971 -0.5122E+00  0.8833E-03
          0.3232     -220.17  0.2796  0.7247E+00  0.8771E-03       -193.05  0.2891  0.2518E-01  0.8834E-03       -177.12  0.2957 -0.3548E+00  0.8834E-03
          0.4360     -244.74  0.2706  0.1503E+01  0.8823E-03       -203.73  0.2852  0.4505E+00  0.8833E-03       -183.27  0.2931 -0.6889E-01  0.8834E-03
          0.5770     -265.07  0.2645  0.1446E+01  0.8821E-03       -216.46  0.2806  0.7058E+00  0.8833E-03       -191.67  0.2896  0.2090E+00  0.8833E-03
          0.7885     -248.58  0.2695  0.1425E+00  0.8748E-03       -220.57  0.2792  0.3457E+00  0.8832E-03       -198.34  0.2872  0.1704E+00  0.8832E-03
          1.0000     -246.97  0.2704  0.1425E+00  0.8750E-03       -221.82  0.2786  0.1706E+00  0.8835E-03       -201.64  0.2859  0.8322E-01  0.8834E-03
end
