 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   8:56:23
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.40294E-01  0.21586E-01  0.40297E-01  0.21533E-01 -0.52063E+01  0.40294E-03  0.21586E-03  0.40297E-03  0.21533E-03 -0.52063E-01 -0.12509E+03 -0.10442E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10641E+03  0.15589E-04  0.41856E-03      1  0.00000E+00      0.000
       0.0200  0.35623E-01  0.21586E-01  0.35621E-01  0.21531E-01 -0.51261E+01  0.75917E-03  0.43172E-03  0.75918E-03  0.43064E-03 -0.10332E+00 -0.12630E+03 -0.10543E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10636E+03  0.77883E-04  0.83706E-03      2  0.00000E+00      0.000
       0.0330  0.24932E-01  0.21586E-01  0.24937E-01  0.21529E-01 -0.50379E+01  0.10833E-02  0.71234E-03  0.10834E-02  0.71052E-03 -0.16882E+00 -0.12803E+03 -0.10692E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10629E+03  0.29786E-03  0.13812E-02      3  0.00000E+00      0.000
       0.0499  0.33405E-02  0.21586E-01  0.33437E-02  0.21526E-01 -0.49494E+01  0.11397E-02  0.10771E-02  0.11399E-02  0.10743E-02 -0.25246E+00 -0.12997E+03 -0.10866E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10621E+03  0.94871E-03  0.20886E-02      4  0.00000E+00      0.000
       0.0719 -0.37335E-01  0.21586E-01 -0.37330E-01  0.21522E-01 -0.48351E+01  0.31947E-03  0.15514E-02  0.31974E-03  0.15472E-02 -0.35869E+00 -0.13223E+03 -0.11080E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10610E+03  0.26883E-02  0.30081E-02      5  0.00000E+00      0.000
       0.1004 -0.11028E+00  0.21586E-01 -0.11028E+00  0.21518E-01 -0.46835E+01 -0.28303E-02  0.21679E-02 -0.28300E-02  0.21617E-02 -0.49246E+00 -0.13468E+03 -0.11329E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10597E+03  0.70334E-02  0.42034E-02      6  0.00000E+00      0.000
       0.1376 -0.23531E+00  0.21586E-01 -0.23531E+00  0.21513E-01 -0.44834E+01 -0.11567E-01  0.29694E-02 -0.11567E-01  0.29605E-02 -0.65892E+00 -0.13716E+03 -0.11612E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10581E+03  0.17324E-01  0.57574E-02      7  0.00000E+00      0.000
       0.1858 -0.43818E+00  0.21586E-01 -0.43818E+00  0.21508E-01 -0.42246E+01 -0.32717E-01  0.40113E-02 -0.32717E-01  0.39986E-02 -0.86283E+00 -0.13928E+03 -0.11911E+03  0.82615E+02  0.00000E+00  0.00000E+00  0.10563E+03  0.40495E-01  0.77775E-02      8  0.00000E+00      0.000
