 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 3.2022    Time:  19:32:26
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -209.45  0.2832  0.1988E-01  0.7999E-02       -193.56  0.2889 -0.5872E+00  0.8963E-02       -185.10  0.2923 -0.8573E+00  0.8891E-02
          0.0230     -210.47  0.2828  0.1929E-01  0.8013E-02       -194.27  0.2886 -0.5506E+00  0.8964E-02       -185.35  0.2922 -0.8194E+00  0.8889E-02
          0.0399     -211.84  0.2823  0.1783E-01  0.8027E-02       -195.25  0.2883 -0.5048E+00  0.8965E-02       -185.73  0.2920 -0.7682E+00  0.8887E-02
          0.0619     -213.36  0.2817  0.1479E-01  0.8040E-02       -196.41  0.2879 -0.4587E+00  0.8966E-02       -186.24  0.2918 -0.7099E+00  0.8886E-02
          0.0904     -215.12  0.2811  0.9019E-02  0.8049E-02       -197.79  0.2874 -0.4093E+00  0.8968E-02       -186.93  0.2915 -0.6439E+00  0.8884E-02
          0.1276     -217.04  0.2804 -0.1293E-02  0.8052E-02       -199.40  0.2868 -0.3611E+00  0.8969E-02       -187.79  0.2912 -0.5730E+00  0.8883E-02
          0.1758     -219.06  0.2797 -0.1853E-01  0.8046E-02       -201.19  0.2861 -0.3160E+00  0.8971E-02       -188.85  0.2907 -0.4999E+00  0.8881E-02
          0.2258     -220.74  0.2791 -0.3939E-01  0.8032E-02       -202.79  0.2855 -0.2825E+00  0.8972E-02       -189.87  0.2903 -0.4404E+00  0.8880E-02
          0.2758     -222.29  0.2785 -0.4425E-01  0.8020E-02       -204.19  0.2850 -0.2560E+00  0.8973E-02       -190.80  0.2899 -0.3919E+00  0.8880E-02
          0.3258     -224.34  0.2778  0.3078E-02  0.8027E-02       -205.66  0.2845 -0.2232E+00  0.8975E-02       -191.76  0.2895 -0.3467E+00  0.8880E-02
          0.3758     -226.72  0.2769  0.4325E-01  0.8058E-02       -207.54  0.2839 -0.1890E+00  0.8980E-02       -193.06  0.2891 -0.2935E+00  0.8883E-02
          0.4258     -229.30  0.2760  0.7235E-01  0.8102E-02       -209.66  0.2831 -0.1538E+00  0.8987E-02       -194.57  0.2885 -0.2380E+00  0.8887E-02
          0.4758     -231.91  0.2751  0.8750E-01  0.8145E-02       -211.92  0.2823 -0.1216E+00  0.8993E-02       -196.23  0.2879 -0.1852E+00  0.8890E-02
          0.5258     -234.37  0.2742  0.8725E-01  0.8173E-02       -214.15  0.2815 -0.9378E-01  0.8997E-02       -197.91  0.2873 -0.1369E+00  0.8893E-02
          0.5758     -236.48  0.2734  0.7159E-01  0.8181E-02       -216.20  0.2807 -0.7236E-01  0.9000E-02       -199.50  0.2867 -0.9696E-01  0.8894E-02
          0.6258     -238.09  0.2728  0.4208E-01  0.8169E-02       -217.90  0.2801 -0.5823E-01  0.8999E-02       -200.86  0.2862 -0.6750E-01  0.8893E-02
          0.6758     -239.08  0.2725  0.1598E-02  0.8136E-02       -219.13  0.2796 -0.5193E-01  0.8997E-02       -201.91  0.2859 -0.4997E-01  0.8891E-02
          0.7258     -239.40  0.2723 -0.4589E-01  0.8087E-02       -219.81  0.2794 -0.5332E-01  0.8992E-02       -202.57  0.2856 -0.4458E-01  0.8888E-02
          0.7758     -239.82  0.2722 -0.3868E-01  0.8050E-02       -220.03  0.2793 -0.5162E-01  0.8986E-02       -202.82  0.2855 -0.4862E-01  0.8883E-02
          0.8258     -240.33  0.2720 -0.1788E-01  0.8039E-02       -220.26  0.2793 -0.4739E-01  0.8983E-02       -203.04  0.2855 -0.5107E-01  0.8880E-02
          0.8758     -240.89  0.2718 -0.2302E-03  0.8043E-02       -220.51  0.2792 -0.4098E-01  0.8981E-02       -203.26  0.2854 -0.5117E-01  0.8879E-02
          0.9258     -241.44  0.2716  0.1255E-01  0.8055E-02       -220.82  0.2791 -0.3402E-01  0.8981E-02       -203.50  0.2853 -0.4920E-01  0.8879E-02
          0.9629     -241.82  0.2715  0.1812E-01  0.8066E-02       -221.06  0.2790 -0.2908E-01  0.8980E-02       -203.68  0.2852 -0.4695E-01  0.8879E-02
          1.0000     -242.17  0.2714  0.2001E-01  0.8076E-02       -221.31  0.2789 -0.2479E-01  0.8980E-02       -203.88  0.2852 -0.4414E-01  0.8878E-02
end
