PARA,ZRTC,ZSTC,ZLFC,ZERC,ZART,ZAST,ZALF,ZAER,TZDMI,TZDMX,SUMZ,SUMTZA
FRTT1,0.33793,0.261578,0.661342,0.095239,0.33793,0.261578,0.661342,0.095239,0,0.455692,0.015955,0.411702
FRTT2,0.397711,0.330199,0.71885,0.215122,0.397711,0.330199,0.71885,0.215122,0,0.451313,0.015994,0.322755
FRTT3,0.830311,0.113544,0.61781,0.193999,0.830311,0.113544,0.61781,0.193999,0,0.444002,0.01598,0.483249
FRTT4,0.343733,0.115242,0.645433,0.215363,0.343733,0.115242,0.645433,0.215363,0,0.458153,0.015948,0.318409
FRTT5,0.395989,0.252218,0.793986,0.113354,0.395989,0.252218,0.793986,0.113354,0,0.50121,0.015969,0.265329
FRTT6,0.421915,0.068346,0.78122,0.235854,0.421915,0.068346,0.78122,0.235854,0.890411,0.500981,0.015986,0.16488
FSTT1,0.457606,0.099594,0.690525,0.064072,0.457606,0.099594,0.690525,0.064072,0,0.747792,0.015988,0.068942
FSTT2,0.176653,0.070067,0.414469,0.055312,0.176653,0.070067,0.414469,0.055312,0,0.720733,0.015971,0.049544
FSTT3,0.194532,0.113787,0.545238,0.198586,0.194532,0.113787,0.545238,0.198586,0,0.495552,0.01595,0.165218
FSTT4,0.480653,0.07991,0.8649,0.140168,0.480653,0.07991,0.8649,0.140168,0,0.527765,0.015973,0.096201
FSTT5,0.402782,0.082128,0.660242,0.133707,0.402782,0.082128,0.660242,0.133707,0,0.687532,0.015987,0.100875
FSTT6,0.471367,0.177473,0.515473,0.227043,0.471367,0.177473,0.515473,0.227043,0,0.487291,0.015959,0.424869
FLFT1,0.469608,0.162333,0.439295,0.124416,0.469608,0.162333,0.439295,0.124416,0,0.438718,0.015999,0.166142
FLFT2,0.472595,0.072629,0.426193,0.081007,0.472595,0.072629,0.426193,0.081007,0,0.695543,0.015956,0.075526
FLFT3,0.404765,0.105372,0.567244,0.180178,0.404765,0.105372,0.567244,0.180178,0,0.46712,0.015967,0.183845
FLFT4,0.346877,0.102986,0.548955,0.103551,0.346877,0.102986,0.548955,0.103551,0,0.577627,0.015952,0.500057
FLFT5,0.381824,0.080245,0.507198,0.433276,0.381824,0.080245,0.507198,0.433276,0,0.455711,0.015975,0.277847
FLFT6,0.440443,0.063823,0.647892,0.046915,0.440443,0.063823,0.647892,0.046915,0,0.653059,0.015951,0.050457
ZU,0.577574,0.278288,0.696419,0.217954,0.577574,0.278288,0.696419,0.217954,0,0.93539,1,0.854654
