para,conc0,conc6,conc9,conc15,conc20,conc30,conc40,conc60,all_solute_uptake
Diffus,0.277274,0.062261,0.131969,0.214008,0.253479,0.776739,0.480267,0.576866,0.07429
Disp,0.029288,0.0203,0.023909,0.023478,0.033923,0.02814,0.036721,0.405924,0.18481
Kd,0.693738,0.988131,0.928214,0.827622,0.904922,0.413622,0.591345,0.899618,0.563705
yita,0.038582,0.016417,0.016254,0.0177,0.031742,0.040508,0.022722,0.282149,0.073398
alpha,0.075613,0.02279,0.018737,0.01695,0.074027,0.157179,0.213573,0.348645,0.085562
Km,0.023764,0.018571,0.0225,0.028366,0.05655,0.039297,0.043032,0.561076,0.472135
